"CODE","1600tobaccoTOTAL2016count","1600tobaccoTOTAL2016density"
"S01006506",6,0.746038795743259
"S01006507",6,0.746038795743259
"S01006508",6,0.746038795743259
"S01006509",6,0.746038795743259
"S01006510",6,0.746038795743259
"S01006511",6,0.746038795743259
"S01006512",0,0
"S01006513",0,0
"S01006514",1,0.124339799290543
"S01006515",0,0
"S01006516",0,0
"S01006517",5,0.621698996452716
"S01006518",4,0.497359197162173
"S01006519",5,0.621698996452716
"S01006520",1,0.124339799290543
"S01006521",9,1.11905819361489
"S01006522",5,0.621698996452716
"S01006523",6,0.746038795743259
"S01006524",5,0.621698996452716
"S01006525",5,0.621698996452716
"S01006526",10,1.24339799290543
"S01006527",13,1.61641739077706
"S01006528",17,2.11377658793923
"S01006529",29,3.60585417942575
"S01006530",20,2.48679598581086
"S01006531",18,2.23811638722978
"S01006532",36,4.47623277445956
"S01006533",32,3.97887357729738
"S01006534",47,5.84397056665553
"S01006535",62,7.70906755601368
"S01006536",101,12.5583197283449
"S01006537",12,1.49207759148652
"S01006538",14,1.74075719006761
"S01006539",31,3.85453377800684
"S01006540",23,2.85981538368249
"S01006541",14,1.74075719006761
"S01006542",9,1.11905819361489
"S01006543",10,1.24339799290543
"S01006544",26,3.23283478155412
"S01006545",30,3.7301939787163
"S01006546",14,1.74075719006761
"S01006547",15,1.86509698935815
"S01006548",8,0.994718394324346
"S01006549",24,2.98415518297304
"S01006550",17,2.11377658793923
"S01006551",22,2.73547558439195
"S01006552",24,2.98415518297304
"S01006553",28,3.48151438013521
"S01006554",30,3.7301939787163
"S01006555",23,2.85981538368249
"S01006556",28,3.48151438013521
"S01006557",21,2.61113578510141
"S01006558",110,13.6773779219598
"S01006559",84,10.4445431404056
"S01006560",55,6.83868896097988
"S01006561",41,5.09793177091227
"S01006562",32,3.97887357729738
"S01006563",54,6.71434916168933
"S01006564",152,18.8996494921626
"S01006565",153,19.0239892914531
"S01006566",145,18.0292708971288
"S01006567",153,19.0239892914531
"S01006568",142,17.6562514992571
"S01006569",126,15.6668147106084
"S01006570",123,15.2937953127368
"S01006571",108,13.4286983233787
"S01006572",28,3.48151438013521
"S01006573",59,7.33604815814205
"S01006574",54,6.71434916168933
"S01006575",51,6.3413297638177
"S01006576",79,9.82284414395292
"S01006577",72,8.95246554891911
"S01006578",111,13.8017177212503
"S01006579",127,15.791154509899
