"CODE","1200tobaccoTOTAL2016count","1200tobaccoTOTAL2016density"
"S01006506",6,1.32629119243246
"S01006507",6,1.32629119243246
"S01006508",6,1.32629119243246
"S01006509",6,1.32629119243246
"S01006510",6,1.32629119243246
"S01006511",6,1.32629119243246
"S01006512",0,0
"S01006513",0,0
"S01006514",0,0
"S01006515",0,0
"S01006516",0,0
"S01006517",4,0.884194128288307
"S01006518",1,0.221048532072077
"S01006519",1,0.221048532072077
"S01006520",1,0.221048532072077
"S01006521",5,1.10524266036038
"S01006522",5,1.10524266036038
"S01006523",4,0.884194128288307
"S01006524",5,1.10524266036038
"S01006525",5,1.10524266036038
"S01006526",6,1.32629119243246
"S01006527",7,1.54733972450454
"S01006528",10,2.21048532072077
"S01006529",15,3.31572798108115
"S01006530",14,3.09467944900908
"S01006531",11,2.43153385279285
"S01006532",22,4.86306770558569
"S01006533",16,3.53677651315323
"S01006534",24,5.30516476972984
"S01006535",31,6.85250449423438
"S01006536",48,10.6103295394597
"S01006537",9,1.98943678864869
"S01006538",8,1.76838825657661
"S01006539",16,3.53677651315323
"S01006540",13,2.873630916937
"S01006541",10,2.21048532072077
"S01006542",6,1.32629119243246
"S01006543",5,1.10524266036038
"S01006544",11,2.43153385279285
"S01006545",12,2.65258238486492
"S01006546",7,1.54733972450454
"S01006547",6,1.32629119243246
"S01006548",5,1.10524266036038
"S01006549",11,2.43153385279285
"S01006550",6,1.32629119243246
"S01006551",8,1.76838825657661
"S01006552",19,4.19992210936946
"S01006553",19,4.19992210936946
"S01006554",19,4.19992210936946
"S01006555",20,4.42097064144154
"S01006556",21,4.64201917351361
"S01006557",14,3.09467944900908
"S01006558",35,7.73669862252269
"S01006559",33,7.29460155837854
"S01006560",16,3.53677651315323
"S01006561",17,3.75782504522531
"S01006562",17,3.75782504522531
"S01006563",16,3.53677651315323
"S01006564",122,26.9679209127934
"S01006565",126,27.8521150410817
"S01006566",94,20.7785620147752
"S01006567",117,25.862678252433
"S01006568",90,19.8943678864869
"S01006569",62,13.7050089884688
"S01006570",47,10.3892810073876
"S01006571",50,11.0524266036038
"S01006572",15,3.31572798108115
"S01006573",16,3.53677651315323
"S01006574",16,3.53677651315323
"S01006575",24,5.30516476972984
"S01006576",34,7.51565009045061
"S01006577",37,8.17879568666684
"S01006578",68,15.0313001809012
"S01006579",85,18.7891252261265
"S01006580",49,10.8313780715318
"S01006581",19,4.19992210936946
"S01006582",119,26.3047753165771
"S01006583",103,22.7679988034239
"S01006584",114,25.1995326562168
"S01006585",124,27.4100179769375
"S01006586",131,28.9573577014421
"S01006587",128,28.2942121052258
"S01006588",130,28.73630916937
"S01006589",111,24.5363870600005
"S01006590",120,26.5258238486492
"S01006591",116,25.6416297203609
"S01006592",103,22.7679988034239
"S01006593",110,24.3153385279285
"S01006594",55,12.1576692639642
"S01006595",92,20.3364649506311
"S01006596",110,24.3153385279285
"S01006597",84,18.5680766940545
"S01006598",65,14.368154584685
"S01006599",18,3.97887357729738
"S01006600",21,4.64201917351361
"S01006601",43,9.5050868790993
"S01006602",58,12.8208148601805
"S01006603",6,1.32629119243246
"S01006604",9,1.98943678864869
"S01006605",9,1.98943678864869
"S01006606",12,2.65258238486492
"S01006607",6,1.32629119243246
"S01006608",2,0.442097064144154
"S01006609",6,1.32629119243246
"S01006610",7,1.54733972450454
"S01006611",7,1.54733972450454
"S01006612",6,1.32629119243246
"S01006613",6,1.32629119243246
