"CODE","4000alcoholTOTAL2012count","4000alcoholTOTAL2012density"
"S01006506",17,0.338204254070278
"S01006507",17,0.338204254070278
"S01006508",17,0.338204254070278
"S01006509",17,0.338204254070278
"S01006510",17,0.338204254070278
"S01006511",19,0.377992989843251
"S01006512",17,0.338204254070278
"S01006513",26,0.51725356504866
"S01006514",20,0.397887357729738
"S01006515",26,0.51725356504866
"S01006516",27,0.537147932935147
"S01006517",61,1.2135564410757
"S01006518",29,0.576936668708121
"S01006519",36,0.716197243913529
"S01006520",28,0.557042300821634
"S01006521",160,3.18309886183791
"S01006522",84,1.6711269024649
"S01006523",76,1.51197195937301
"S01006524",50,0.994718394324346
"S01006525",38,0.755985979686503
"S01006526",348,6.92324002449745
"S01006527",356,7.08239496758934
"S01006528",412,8.19647956923261
"S01006529",476,9.46971911396777
"S01006530",449,8.93257118103263
"S01006531",427,8.49489508752991
"S01006532",499,9.92728957535697
"S01006533",490,9.74824026437859
"S01006534",516,10.2654938294272
"S01006535",512,10.1859163578813
"S01006536",525,10.4445431404056
"S01006537",408,8.11690209768666
"S01006538",407,8.09700772980018
"S01006539",491,9.76813463226508
"S01006540",460,9.15140922778398
"S01006541",453,9.01214865257857
"S01006542",360,7.16197243913529
"S01006543",347,6.90334565661096
"S01006544",502,9.98697267901643
"S01006545",485,9.64876842494616
"S01006546",469,9.33045853876236
"S01006547",192,3.81971863420549
"S01006548",317,6.30651462001635
"S01006549",485,9.64876842494616
"S01006550",404,8.03732462614071
"S01006551",245,4.87412013218929
"S01006552",357,7.10228933547583
"S01006553",488,9.70845152860562
"S01006554",504,10.0267614147894
"S01006555",289,5.74947231919472
"S01006556",447,8.89278244525965
"S01006557",160,3.18309886183791
"S01006558",552,10.9816910733408
"S01006559",547,10.8822192339083
"S01006560",545,10.8424304981354
"S01006561",550,10.9419023375678
"S01006562",527,10.4843318761786
"S01006563",553,11.0015854412273
"S01006564",545,10.8424304981354
"S01006565",542,10.7827473944759
"S01006566",549,10.9220079696813
"S01006567",547,10.8822192339083
"S01006568",550,10.9419023375678
"S01006569",550,10.9419023375678
"S01006570",547,10.8822192339083
"S01006571",543,10.8026417623624
"S01006572",540,10.7429586587029
"S01006573",542,10.7827473944759
"S01006574",542,10.7827473944759
"S01006575",531,10.5639093477246
"S01006576",540,10.7429586587029
"S01006577",544,10.8225361302489
"S01006578",535,10.6434868192705
"S01006579",535,10.6434868192705
"S01006580",541,10.7628530265894
"S01006581",522,10.3848600367462
"S01006582",530,10.5440149798381
"S01006583",529,10.5241206119516
"S01006584",539,10.7230642908164
"S01006585",539,10.7230642908164
"S01006586",535,10.6434868192705
"S01006587",518,10.3052825652002
"S01006588",521,10.3649656688597
"S01006589",519,10.3251769330867
"S01006590",526,10.4644375082921
"S01006591",519,10.3251769330867
"S01006592",507,10.0864445184489
"S01006593",516,10.2654938294272
"S01006594",515,10.2455994615408
"S01006595",526,10.4644375082921
"S01006596",518,10.3052825652002
"S01006597",525,10.4445431404056
"S01006598",501,9.96707831112995
"S01006599",488,9.70845152860562
"S01006600",502,9.98697267901643
"S01006601",507,10.0864445184489
"S01006602",505,10.0466557826759
"S01006603",397,7.89806405093531
"S01006604",452,8.99225428469209
"S01006605",454,9.03204302046506
"S01006606",466,9.2707754351029
"S01006607",454,9.03204302046506
"S01006608",27,0.537147932935147
"S01006609",439,8.73362750216776
"S01006610",418,8.31584577655153
"S01006611",417,8.29595140866505
"S01006612",343,6.82376818506501
"S01006613",32,0.636619772367581
"S01006614",22,0.437676093502712
"S01006615",26,0.51725356504866
"S01006616",24,0.477464829275686
"S01006617",30,0.596831036594608
"S01006618",36,0.716197243913529
"S01006619",47,0.935035290664885
"S01006620",56,1.11408460164327
"S01006621",79,1.57165506303247
"S01006622",57,1.13397896952975
"S01006623",438,8.71373313428127
"S01006624",484,9.62887405705967
"S01006625",479,9.52940221762723
"S01006626",478,9.50950784974075
"S01006627",476,9.46971911396777
"S01006628",485,9.64876842494616
"S01006629",476,9.46971911396777
"S01006630",467,9.29066980298939
"S01006631",460,9.15140922778398
"S01006632",472,9.39014164242183
"S01006633",464,9.23098669932993
"S01006634",459,9.13151485989749
"S01006635",468,9.31056417087588
"S01006636",450,8.95246554891911
"S01006637",510,10.1461276221083
"S01006638",513,10.2058107257678
"S01006639",516,10.2654938294272
"S01006640",496,9.86760647169751
"S01006641",507,10.0864445184489
"S01006642",520,10.3450713009732
"S01006643",513,10.2058107257678
"S01006644",507,10.0864445184489
"S01006645",536,10.663381187157
"S01006646",529,10.5241206119516
"S01006647",530,10.5440149798381
"S01006648",536,10.663381187157
"S01006649",541,10.7628530265894
"S01006650",542,10.7827473944759
"S01006651",537,10.6832755550435
"S01006652",535,10.6434868192705
"S01006653",548,10.9021136017948
"S01006654",545,10.8424304981354
"S01006655",550,10.9419023375678
"S01006656",546,10.8623248660219
"S01006657",548,10.9021136017948
"S01006658",535,10.6434868192705
"S01006659",537,10.6832755550435
"S01006660",532,10.583803715611
"S01006661",532,10.583803715611
"S01006662",533,10.6036980834975
"S01006663",526,10.4644375082921
"S01006664",529,10.5241206119516
"S01006665",528,10.5042262440651
"S01006666",491,9.76813463226508
"S01006667",499,9.92728957535697
"S01006668",510,10.1461276221083
"S01006669",510,10.1461276221083
"S01006670",505,10.0466557826759
"S01006671",461,9.17130359567047
"S01006672",501,9.96707831112995
"S01006673",489,9.7283458964921
"S01006674",486,9.66866279283264
"S01006675",513,10.2058107257678
"S01006676",505,10.0466557826759
"S01006677",522,10.3848600367462
"S01006678",490,9.74824026437859
"S01006679",506,10.0665501505624
"S01006680",489,9.7283458964921
"S01006681",324,6.44577519522176
"S01006682",527,10.4843318761786
"S01006683",526,10.4644375082921
"S01006684",519,10.3251769330867
"S01006685",484,9.62887405705967
"S01006686",502,9.98697267901643
"S01006687",509,10.1262332542218
"S01006688",539,10.7230642908164
"S01006689",539,10.7230642908164
"S01006690",538,10.70316992293
"S01006691",545,10.8424304981354
"S01006692",544,10.8225361302489
"S01006693",524,10.4246487725191
"S01006694",513,10.2058107257678
"S01006695",541,10.7628530265894
"S01006696",534,10.623592451384
"S01006697",540,10.7429586587029
"S01006698",524,10.4246487725191
"S01006699",542,10.7827473944759
"S01006700",543,10.8026417623624
"S01006701",293,5.82904979074067
"S01006702",374,7.44049358954611
"S01006703",383,7.61954290052449
"S01006704",272,5.41126806512444
"S01006705",445,8.85299370948668
"S01006706",488,9.70845152860562
"S01006707",504,10.0267614147894
"S01006708",181,3.60088058745413
"S01006709",146,2.90457771142709
"S01006710",115,2.287852306946
"S01006711",131,2.60616219312979
"S01006712",177,3.52130311590818
"S01006713",280,5.57042300821634
"S01006714",503,10.0068670469029
"S01006715",427,8.49489508752991
"S01006716",506,10.0665501505624
"S01006717",433,8.61426129484884
"S01006718",513,10.2058107257678
"S01006719",144,2.86478897565412
"S01006720",129,2.56637345735681
"S01006721",158,3.14331012606493
"S01006722",378,7.52007106109205
