"CODE","400alcoholOn2016count","400alcoholOn2016density"
"S01006506",2,3.97887357729738
"S01006507",0,0
"S01006508",1,1.98943678864869
"S01006509",0,0
"S01006510",0,0
"S01006511",0,0
"S01006512",0,0
"S01006513",0,0
"S01006514",0,0
"S01006515",0,0
"S01006516",0,0
"S01006517",0,0
"S01006518",0,0
"S01006519",0,0
"S01006520",0,0
"S01006521",0,0
"S01006522",0,0
"S01006523",0,0
"S01006524",0,0
"S01006525",0,0
"S01006526",0,0
"S01006527",0,0
"S01006528",0,0
"S01006529",0,0
"S01006530",0,0
"S01006531",0,0
"S01006532",0,0
"S01006533",0,0
"S01006534",0,0
"S01006535",0,0
"S01006536",3,5.96831036594608
"S01006537",0,0
"S01006538",0,0
"S01006539",0,0
"S01006540",1,1.98943678864869
"S01006541",0,0
"S01006542",0,0
"S01006543",0,0
"S01006544",0,0
"S01006545",2,3.97887357729738
"S01006546",1,1.98943678864869
"S01006547",0,0
"S01006548",0,0
"S01006549",1,1.98943678864869
"S01006550",0,0
"S01006551",0,0
"S01006552",0,0
"S01006553",0,0
"S01006554",0,0
"S01006555",0,0
"S01006556",0,0
"S01006557",1,1.98943678864869
"S01006558",0,0
"S01006559",1,1.98943678864869
"S01006560",1,1.98943678864869
"S01006561",0,0
"S01006562",0,0
"S01006563",0,0
"S01006564",12,23.8732414637843
"S01006565",5,9.94718394324346
"S01006566",1,1.98943678864869
"S01006567",2,3.97887357729738
"S01006568",1,1.98943678864869
"S01006569",2,3.97887357729738
"S01006570",1,1.98943678864869
"S01006571",1,1.98943678864869
"S01006572",0,0
"S01006573",1,1.98943678864869
"S01006574",2,3.97887357729738
"S01006575",1,1.98943678864869
"S01006576",0,0
"S01006577",2,3.97887357729738
"S01006578",4,7.95774715459477
"S01006579",15,29.8415518297304
"S01006580",0,0
"S01006581",1,1.98943678864869
"S01006582",74,147.218322360003
"S01006583",31,61.6725404481094
"S01006584",38,75.5985979686503
"S01006585",45,89.5246554891911
"S01006586",61,121.35564410757
"S01006587",62,123.345080896219
"S01006588",82,163.133816669193
"S01006589",26,51.725356504866
"S01006590",46,91.5140922778398
"S01006591",8,15.9154943091895
"S01006592",3,5.96831036594608
"S01006593",4,7.95774715459477
"S01006594",3,5.96831036594608
"S01006595",5,9.94718394324346
"S01006596",3,5.96831036594608
"S01006597",9,17.9049310978382
"S01006598",1,1.98943678864869
"S01006599",0,0
"S01006600",0,0
"S01006601",1,1.98943678864869
"S01006602",1,1.98943678864869
"S01006603",0,0
"S01006604",0,0
"S01006605",0,0
"S01006606",0,0
"S01006607",0,0
"S01006608",0,0
"S01006609",0,0
"S01006610",0,0
"S01006611",0,0
"S01006612",0,0
"S01006613",0,0
"S01006614",0,0
"S01006615",0,0
"S01006616",0,0
"S01006617",1,1.98943678864869
"S01006618",0,0
"S01006619",1,1.98943678864869
"S01006620",0,0
"S01006621",0,0
"S01006622",0,0
"S01006623",0,0
"S01006624",0,0
"S01006625",0,0
"S01006626",0,0
"S01006627",0,0
"S01006628",1,1.98943678864869
"S01006629",0,0
"S01006630",0,0
"S01006631",1,1.98943678864869
"S01006632",0,0
"S01006633",0,0
"S01006634",0,0
"S01006635",0,0
"S01006636",1,1.98943678864869
"S01006637",8,15.9154943091895
"S01006638",3,5.96831036594608
"S01006639",8,15.9154943091895
"S01006640",3,5.96831036594608
"S01006641",1,1.98943678864869
"S01006642",2,3.97887357729738
"S01006643",0,0
"S01006644",2,3.97887357729738
"S01006645",6,11.9366207318922
"S01006646",11,21.8838046751356
"S01006647",8,15.9154943091895
"S01006648",7,13.9260575205408
"S01006649",3,5.96831036594608
"S01006650",1,1.98943678864869
"S01006651",4,7.95774715459477
"S01006652",4,7.95774715459477
"S01006653",1,1.98943678864869
"S01006654",1,1.98943678864869
"S01006655",0,0
"S01006656",1,1.98943678864869
"S01006657",1,1.98943678864869
"S01006658",2,3.97887357729738
"S01006659",0,0
"S01006660",0,0
"S01006661",1,1.98943678864869
"S01006662",0,0
"S01006663",3,5.96831036594608
"S01006664",1,1.98943678864869
"S01006665",1,1.98943678864869
"S01006666",1,1.98943678864869
"S01006667",1,1.98943678864869
"S01006668",3,5.96831036594608
"S01006669",2,3.97887357729738
"S01006670",2,3.97887357729738
"S01006671",0,0
"S01006672",1,1.98943678864869
"S01006673",1,1.98943678864869
"S01006674",0,0
"S01006675",0,0
"S01006676",0,0
"S01006677",0,0
"S01006678",0,0
"S01006679",0,0
"S01006680",1,1.98943678864869
"S01006681",0,0
"S01006682",0,0
"S01006683",0,0
"S01006684",0,0
"S01006685",0,0
"S01006686",0,0
"S01006687",0,0
"S01006688",0,0
"S01006689",0,0
"S01006690",0,0
"S01006691",1,1.98943678864869
"S01006692",1,1.98943678864869
"S01006693",0,0
"S01006694",0,0
"S01006695",0,0
"S01006696",0,0
"S01006697",0,0
"S01006698",0,0
"S01006699",0,0
"S01006700",0,0
"S01006701",0,0
"S01006702",0,0
"S01006703",0,0
"S01006704",0,0
"S01006705",0,0
"S01006706",0,0
"S01006707",0,0
"S01006708",1,1.98943678864869
"S01006709",1,1.98943678864869
"S01006710",0,0
"S01006711",0,0
"S01006712",0,0
"S01006713",0,0
"S01006714",0,0
"S01006715",0,0
"S01006716",0,0
"S01006717",0,0
"S01006718",0,0
"S01006719",0,0
"S01006720",1,1.98943678864869
"S01006721",0,0
"S01006722",0,0
"S01006723",0,0
"S01006724",0,0
"S01006725",0,0
"S01006726",0,0
"S01006727",0,0
"S01006728",0,0
"S01006729",0,0
"S01006730",0,0
"S01006731",1,1.98943678864869
"S01006732",0,0
"S01006733",0,0
"S01006734",0,0
"S01006735",0,0
"S01006736",0,0
"S01006737",0,0
"S01006738",0,0
"S01006739",0,0
"S01006740",0,0
"S01006741",0,0
"S01006742",0,0
"S01006743",0,0
"S01006744",0,0
"S01006745",0,0
"S01006746",0,0
"S01006747",0,0
"S01006748",1,1.98943678864869
"S01006749",0,0
"S01006750",0,0
"S01006751",0,0
"S01006752",0,0
"S01006753",1,1.98943678864869
"S01006754",1,1.98943678864869
"S01006755",0,0
"S01006756",1,1.98943678864869
"S01006757",1,1.98943678864869
"S01006758",0,0
"S01006759",1,1.98943678864869
"S01006760",1,1.98943678864869
"S01006761",0,0
"S01006762",0,0
"S01006763",0,0
"S01006764",1,1.98943678864869
"S01006765",0,0
"S01006766",0,0
"S01006767",0,0
"S01006768",0,0
"S01006769",0,0
"S01006770",0,0
"S01006771",1,1.98943678864869
"S01006772",0,0
"S01006773",1,1.98943678864869
"S01006774",1,1.98943678864869
"S01006775",0,0
"S01006776",0,0
"S01006777",0,0
"S01006778",0,0
"S01006779",0,0
"S01006780",0,0
"S01006781",0,0
"S01006782",0,0
"S01006783",0,0
"S01006784",1,1.98943678864869
"S01006785",0,0
"S01006786",0,0
"S01006787",1,1.98943678864869
"S01006788",0,0
"S01006789",5,9.94718394324346
"S01006790",4,7.95774715459477
"S01006791",0,0
"S01006792",0,0
"S01006793",6,11.9366207318922
"S01006794",0,0
"S01006795",0,0
"S01006796",0,0
"S01006797",0,0
"S01006798",0,0
"S01006799",0,0
"S01006800",0,0
"S01006801",2,3.97887357729738
"S01006802",1,1.98943678864869
"S01006803",0,0
"S01006804",0,0
"S01006805",2,3.97887357729738
"S01006806",0,0
"S01006807",0,0
"S01006808",0,0
"S01006809",1,1.98943678864869
"S01006810",0,0
"S01006811",0,0
"S01006812",0,0
"S01006813",0,0
"S01006814",0,0
"S01006815",1,1.98943678864869
"S01006816",2,3.97887357729738
"S01006817",0,0
"S01006818",0,0
"S01006819",0,0
"S01006820",1,1.98943678864869
"S01006821",0,0
"S01006822",0,0
"S01006823",0,0
"S01006824",0,0
"S01006825",0,0
"S01006826",0,0
"S01006827",0,0
"S01006828",6,11.9366207318922
"S01006829",0,0
"S01006830",0,0
"S01006831",0,0
"S01006832",0,0
"S01006833",1,1.98943678864869
"S01006834",1,1.98943678864869
"S01006835",13,25.862678252433
