"CODE","400tobaccoTOTAL2016count","400tobaccoTOTAL2016density"
"S01006506",4,7.95774715459477
"S01006507",0,0
"S01006508",3,5.96831036594608
"S01006509",2,3.97887357729738
"S01006510",1,1.98943678864869
"S01006511",1,1.98943678864869
"S01006512",0,0
"S01006513",0,0
"S01006514",0,0
"S01006515",0,0
"S01006516",0,0
"S01006517",0,0
"S01006518",1,1.98943678864869
"S01006519",0,0
"S01006520",0,0
"S01006521",1,1.98943678864869
"S01006522",0,0
"S01006523",4,7.95774715459477
"S01006524",3,5.96831036594608
"S01006525",0,0
"S01006526",2,3.97887357729738
"S01006527",2,3.97887357729738
"S01006528",3,5.96831036594608
"S01006529",3,5.96831036594608
"S01006530",2,3.97887357729738
"S01006531",2,3.97887357729738
"S01006532",3,5.96831036594608
"S01006533",2,3.97887357729738
"S01006534",1,1.98943678864869
"S01006535",6,11.9366207318922
"S01006536",8,15.9154943091895
"S01006537",0,0
"S01006538",0,0
"S01006539",0,0
"S01006540",1,1.98943678864869
"S01006541",1,1.98943678864869
"S01006542",0,0
"S01006543",0,0
"S01006544",1,1.98943678864869
"S01006545",2,3.97887357729738
"S01006546",2,3.97887357729738
"S01006547",2,3.97887357729738
"S01006548",0,0
"S01006549",0,0
"S01006550",1,1.98943678864869
"S01006551",2,3.97887357729738
"S01006552",0,0
"S01006553",1,1.98943678864869
"S01006554",6,11.9366207318922
"S01006555",4,7.95774715459477
"S01006556",1,1.98943678864869
"S01006557",3,5.96831036594608
"S01006558",3,5.96831036594608
"S01006559",4,7.95774715459477
"S01006560",2,3.97887357729738
"S01006561",2,3.97887357729738
"S01006562",2,3.97887357729738
"S01006563",1,1.98943678864869
"S01006564",7,13.9260575205408
"S01006565",8,15.9154943091895
"S01006566",4,7.95774715459477
"S01006567",9,17.9049310978382
"S01006568",3,5.96831036594608
"S01006569",3,5.96831036594608
"S01006570",4,7.95774715459477
"S01006571",3,5.96831036594608
"S01006572",0,0
"S01006573",2,3.97887357729738
"S01006574",3,5.96831036594608
"S01006575",1,1.98943678864869
"S01006576",4,7.95774715459477
"S01006577",3,5.96831036594608
"S01006578",9,17.9049310978382
"S01006579",15,29.8415518297304
"S01006580",5,9.94718394324346
"S01006581",2,3.97887357729738
"S01006582",33,65.6514140254068
"S01006583",18,35.8098621956765
"S01006584",14,27.8521150410817
"S01006585",23,45.7570461389199
"S01006586",38,75.5985979686503
"S01006587",28,55.7042300821634
"S01006588",49,97.4824026437859
"S01006589",17,33.8204254070278
"S01006590",19,37.7992989843251
"S01006591",8,15.9154943091895
"S01006592",5,9.94718394324346
"S01006593",7,13.9260575205408
"S01006594",7,13.9260575205408
"S01006595",5,9.94718394324346
"S01006596",4,7.95774715459477
"S01006597",9,17.9049310978382
"S01006598",3,5.96831036594608
"S01006599",4,7.95774715459477
"S01006600",2,3.97887357729738
"S01006601",4,7.95774715459477
"S01006602",1,1.98943678864869
"S01006603",2,3.97887357729738
"S01006604",0,0
"S01006605",1,1.98943678864869
"S01006606",0,0
"S01006607",2,3.97887357729738
"S01006608",0,0
"S01006609",1,1.98943678864869
"S01006610",1,1.98943678864869
"S01006611",1,1.98943678864869
"S01006612",1,1.98943678864869
"S01006613",0,0
"S01006614",0,0
"S01006615",0,0
"S01006616",1,1.98943678864869
"S01006617",3,5.96831036594608
"S01006618",1,1.98943678864869
"S01006619",3,5.96831036594608
"S01006620",3,5.96831036594608
"S01006621",2,3.97887357729738
"S01006622",2,3.97887357729738
"S01006623",0,0
"S01006624",6,11.9366207318922
"S01006625",6,11.9366207318922
"S01006626",8,15.9154943091895
"S01006627",10,19.8943678864869
"S01006628",11,21.8838046751356
"S01006629",4,7.95774715459477
"S01006630",1,1.98943678864869
"S01006631",2,3.97887357729738
"S01006632",3,5.96831036594608
"S01006633",1,1.98943678864869
"S01006634",3,5.96831036594608
"S01006635",3,5.96831036594608
"S01006636",2,3.97887357729738
"S01006637",8,15.9154943091895
"S01006638",13,25.862678252433
"S01006639",10,19.8943678864869
"S01006640",4,7.95774715459477
"S01006641",7,13.9260575205408
"S01006642",9,17.9049310978382
"S01006643",7,13.9260575205408
"S01006644",2,3.97887357729738
"S01006645",18,35.8098621956765
"S01006646",15,29.8415518297304
"S01006647",17,33.8204254070278
"S01006648",11,21.8838046751356
"S01006649",14,27.8521150410817
"S01006650",11,21.8838046751356
"S01006651",15,29.8415518297304
"S01006652",15,29.8415518297304
"S01006653",4,7.95774715459477
"S01006654",3,5.96831036594608
"S01006655",0,0
"S01006656",7,13.9260575205408
"S01006657",7,13.9260575205408
"S01006658",10,19.8943678864869
"S01006659",11,21.8838046751356
"S01006660",4,7.95774715459477
"S01006661",5,9.94718394324346
"S01006662",4,7.95774715459477
"S01006663",2,3.97887357729738
"S01006664",3,5.96831036594608
"S01006665",3,5.96831036594608
"S01006666",3,5.96831036594608
"S01006667",3,5.96831036594608
"S01006668",0,0
"S01006669",5,9.94718394324346
"S01006670",0,0
"S01006671",2,3.97887357729738
"S01006672",5,9.94718394324346
"S01006673",5,9.94718394324346
"S01006674",4,7.95774715459477
"S01006675",4,7.95774715459477
"S01006676",2,3.97887357729738
"S01006677",0,0
"S01006678",2,3.97887357729738
"S01006679",6,11.9366207318922
"S01006680",3,5.96831036594608
"S01006681",4,7.95774715459477
"S01006682",8,15.9154943091895
"S01006683",5,9.94718394324346
"S01006684",9,17.9049310978382
"S01006685",2,3.97887357729738
"S01006686",1,1.98943678864869
"S01006687",0,0
"S01006688",2,3.97887357729738
"S01006689",3,5.96831036594608
"S01006690",2,3.97887357729738
"S01006691",5,9.94718394324346
"S01006692",4,7.95774715459477
"S01006693",5,9.94718394324346
"S01006694",3,5.96831036594608
"S01006695",2,3.97887357729738
"S01006696",2,3.97887357729738
"S01006697",0,0
"S01006698",3,5.96831036594608
"S01006699",2,3.97887357729738
"S01006700",2,3.97887357729738
"S01006701",2,3.97887357729738
"S01006702",6,11.9366207318922
"S01006703",5,9.94718394324346
"S01006704",5,9.94718394324346
"S01006705",6,11.9366207318922
"S01006706",5,9.94718394324346
"S01006707",4,7.95774715459477
"S01006708",4,7.95774715459477
"S01006709",5,9.94718394324346
"S01006710",2,3.97887357729738
"S01006711",2,3.97887357729738
"S01006712",2,3.97887357729738
"S01006713",3,5.96831036594608
"S01006714",1,1.98943678864869
"S01006715",0,0
"S01006716",2,3.97887357729738
"S01006717",2,3.97887357729738
"S01006718",1,1.98943678864869
"S01006719",0,0
"S01006720",2,3.97887357729738
"S01006721",6,11.9366207318922
"S01006722",0,0
"S01006723",6,11.9366207318922
"S01006724",7,13.9260575205408
"S01006725",7,13.9260575205408
"S01006726",5,9.94718394324346
"S01006727",2,3.97887357729738
"S01006728",3,5.96831036594608
"S01006729",2,3.97887357729738
"S01006730",2,3.97887357729738
"S01006731",0,0
"S01006732",0,0
"S01006733",0,0
"S01006734",1,1.98943678864869
"S01006735",1,1.98943678864869
"S01006736",0,0
"S01006737",0,0
"S01006738",3,5.96831036594608
"S01006739",1,1.98943678864869
"S01006740",1,1.98943678864869
"S01006741",1,1.98943678864869
"S01006742",1,1.98943678864869
"S01006743",3,5.96831036594608
"S01006744",2,3.97887357729738
"S01006745",3,5.96831036594608
"S01006746",3,5.96831036594608
"S01006747",1,1.98943678864869
"S01006748",2,3.97887357729738
"S01006749",0,0
"S01006750",0,0
"S01006751",2,3.97887357729738
"S01006752",1,1.98943678864869
"S01006753",3,5.96831036594608
"S01006754",0,0
"S01006755",1,1.98943678864869
"S01006756",1,1.98943678864869
"S01006757",0,0
"S01006758",0,0
"S01006759",1,1.98943678864869
"S01006760",0,0
"S01006761",0,0
"S01006762",0,0
"S01006763",0,0
"S01006764",1,1.98943678864869
"S01006765",0,0
"S01006766",0,0
"S01006767",2,3.97887357729738
"S01006768",0,0
"S01006769",1,1.98943678864869
"S01006770",1,1.98943678864869
"S01006771",0,0
"S01006772",0,0
"S01006773",3,5.96831036594608
"S01006774",2,3.97887357729738
"S01006775",0,0
"S01006776",0,0
"S01006777",1,1.98943678864869
"S01006778",1,1.98943678864869
"S01006779",4,7.95774715459477
"S01006780",3,5.96831036594608
"S01006781",2,3.97887357729738
"S01006782",0,0
"S01006783",3,5.96831036594608
"S01006784",1,1.98943678864869
"S01006785",0,0
"S01006786",0,0
"S01006787",0,0
"S01006788",0,0
"S01006789",3,5.96831036594608
"S01006790",3,5.96831036594608
"S01006791",0,0
"S01006792",0,0
"S01006793",2,3.97887357729738
"S01006794",0,0
"S01006795",0,0
"S01006796",0,0
"S01006797",0,0
"S01006798",0,0
"S01006799",1,1.98943678864869
"S01006800",0,0
"S01006801",1,1.98943678864869
"S01006802",1,1.98943678864869
"S01006803",1,1.98943678864869
"S01006804",0,0
"S01006805",2,3.97887357729738
"S01006806",0,0
"S01006807",0,0
"S01006808",0,0
"S01006809",1,1.98943678864869
"S01006810",2,3.97887357729738
"S01006811",0,0
"S01006812",0,0
"S01006813",1,1.98943678864869
"S01006814",0,0
"S01006815",5,9.94718394324346
"S01006816",5,9.94718394324346
"S01006817",0,0
"S01006818",2,3.97887357729738
"S01006819",0,0
"S01006820",0,0
"S01006821",0,0
"S01006822",0,0
"S01006823",2,3.97887357729738
"S01006824",3,5.96831036594608
"S01006825",2,3.97887357729738
"S01006826",0,0
"S01006827",4,7.95774715459477
"S01006828",3,5.96831036594608
"S01006829",0,0
"S01006830",1,1.98943678864869
"S01006831",1,1.98943678864869
"S01006832",3,5.96831036594608
"S01006833",2,3.97887357729738
"S01006834",1,1.98943678864869
"S01006835",6,11.9366207318922
"S01006836",0,0
"S01006837",1,1.98943678864869
"S01006838",0,0
"S01006839",1,1.98943678864869
"S01006840",1,1.98943678864869
"S01006841",0,0
"S01006842",2,3.97887357729738
"S01006843",1,1.98943678864869
"S01006844",1,1.98943678864869
"S01006845",1,1.98943678864869
"S01006846",1,1.98943678864869
"S01006847",0,0
"S01006848",0,0
"S01006849",0,0
"S01006850",2,3.97887357729738
"S01006851",2,3.97887357729738
"S01006852",0,0
"S01006853",0,0
"S01006854",0,0
"S01006855",0,0
"S01006856",2,3.97887357729738
"S01006857",1,1.98943678864869
"S01006858",0,0
"S01006859",1,1.98943678864869
"S01006860",1,1.98943678864869
"S01006861",0,0
"S01006862",0,0
"S01006863",2,3.97887357729738
"S01006864",0,0
"S01006865",3,5.96831036594608
"S01006866",0,0
"S01006867",0,0
"S01006868",0,0
"S01006869",2,3.97887357729738
"S01006870",1,1.98943678864869
"S01006871",1,1.98943678864869
"S01006872",0,0
"S01006873",0,0
"S01006874",0,0
"S01006875",1,1.98943678864869
"S01006876",1,1.98943678864869
"S01006877",0,0
"S01006878",1,1.98943678864869
"S01006879",0,0
"S01006880",0,0
"S01006881",0,0
"S01006882",1,1.98943678864869
"S01006883",3,5.96831036594608
"S01006884",2,3.97887357729738
"S01006885",0,0
"S01006886",1,1.98943678864869
"S01006887",1,1.98943678864869
"S01006888",0,0
"S01006889",0,0
"S01006890",2,3.97887357729738
"S01006891",3,5.96831036594608
"S01006892",1,1.98943678864869
"S01006893",1,1.98943678864869
"S01006894",1,1.98943678864869
"S01006895",1,1.98943678864869
"S01006896",0,0
"S01006897",1,1.98943678864869
"S01006898",1,1.98943678864869
"S01006899",0,0
"S01006900",0,0
"S01006901",1,1.98943678864869
"S01006902",0,0
"S01006903",2,3.97887357729738
"S01006904",2,3.97887357729738
"S01006905",0,0
"S01006906",0,0
"S01006907",5,9.94718394324346
"S01006908",6,11.9366207318922
"S01006909",0,0
"S01006910",0,0
"S01006911",0,0
"S01006912",0,0
"S01006913",0,0
"S01006914",0,0
"S01006915",0,0
"S01006916",1,1.98943678864869
"S01006917",0,0
"S01006918",0,0
"S01006919",0,0
"S01006920",2,3.97887357729738
"S01006921",0,0
"S01006922",0,0
"S01006923",2,3.97887357729738
"S01006924",0,0
"S01006925",0,0
"S01006926",0,0
"S01006927",0,0
"S01006928",2,3.97887357729738
"S01006929",0,0
"S01006930",0,0
"S01006931",0,0
"S01006932",0,0
"S01006933",0,0
"S01006934",0,0
"S01006935",1,1.98943678864869
"S01006936",1,1.98943678864869
"S01006937",0,0
"S01006938",0,0
"S01006939",0,0
"S01006940",0,0
"S01006941",1,1.98943678864869
"S01006942",0,0
"S01006943",2,3.97887357729738
"S01006944",0,0
"S01006945",0,0
"S01006946",0,0
"S01006947",3,5.96831036594608
"S01006948",3,5.96831036594608
"S01006949",0,0
"S01006950",0,0
"S01006951",0,0
"S01006952",0,0
"S01006953",1,1.98943678864869
"S01006954",0,0
"S01006955",1,1.98943678864869
"S01006956",2,3.97887357729738
"S01006957",0,0
"S01006958",0,0
"S01006959",2,3.97887357729738
"S01006960",0,0
"S01006961",0,0
"S01006962",0,0
"S01006963",1,1.98943678864869
"S01006964",1,1.98943678864869
"S01006965",1,1.98943678864869
"S01006966",1,1.98943678864869
"S01006967",0,0
"S01006968",0,0
"S01006969",0,0
"S01006970",0,0
"S01006971",2,3.97887357729738
"S01006972",0,0
"S01006973",2,3.97887357729738
"S01006974",1,1.98943678864869
"S01006975",0,0
"S01006976",0,0
"S01006977",0,0
"S01006978",3,5.96831036594608
"S01006979",1,1.98943678864869
"S01006980",0,0
"S01006981",0,0
"S01006982",2,3.97887357729738
"S01006983",2,3.97887357729738
"S01006984",0,0
"S01006985",4,7.95774715459477
"S01006986",5,9.94718394324346
"S01006987",5,9.94718394324346
"S01006988",0,0
"S01006989",0,0
"S01006990",0,0
"S01006991",2,3.97887357729738
"S01006992",0,0
"S01006993",0,0
"S01006994",0,0
"S01006995",0,0
"S01006996",1,1.98943678864869
"S01006997",0,0
"S01006998",1,1.98943678864869
"S01006999",0,0
"S01007000",1,1.98943678864869
"S01007001",2,3.97887357729738
"S01007002",1,1.98943678864869
"S01007003",0,0
"S01007004",0,0
"S01007005",0,0
"S01007006",1,1.98943678864869
"S01007007",0,0
"S01007008",1,1.98943678864869
"S01007009",3,5.96831036594608
"S01007010",3,5.96831036594608
"S01007011",4,7.95774715459477
"S01007012",2,3.97887357729738
"S01007013",0,0
"S01007014",0,0
"S01007015",0,0
"S01007016",0,0
"S01007017",3,5.96831036594608
"S01007018",0,0
"S01007019",4,7.95774715459477
"S01007020",7,13.9260575205408
"S01007021",2,3.97887357729738
"S01007022",0,0
"S01007023",0,0
"S01007024",0,0
"S01007025",2,3.97887357729738
"S01007026",3,5.96831036594608
"S01007027",1,1.98943678864869
"S01007028",0,0
"S01007029",0,0
"S01007030",1,1.98943678864869
"S01007031",1,1.98943678864869
"S01007032",8,15.9154943091895
"S01007033",2,3.97887357729738
"S01007034",6,11.9366207318922
"S01007035",1,1.98943678864869
"S01007036",0,0
"S01007037",2,3.97887357729738
"S01007038",3,5.96831036594608
"S01007039",0,0
"S01007040",1,1.98943678864869
"S01007041",3,5.96831036594608
"S01007042",1,1.98943678864869
"S01007043",0,0
"S01007044",1,1.98943678864869
"S01007045",0,0
"S01007046",1,1.98943678864869
"S01007047",4,7.95774715459477
"S01007048",0,0
"S01007049",6,11.9366207318922
"S01007050",3,5.96831036594608
"S01007051",3,5.96831036594608
"S01007052",0,0
"S01007053",3,5.96831036594608
"S01007054",1,1.98943678864869
"S01007055",0,0
"S01007056",0,0
"S01007057",1,1.98943678864869
"S01007058",3,5.96831036594608
"S01007059",0,0
"S01007060",4,7.95774715459477
"S01007061",0,0
"S01007062",0,0
"S01007063",1,1.98943678864869
"S01007064",0,0
"S01007065",1,1.98943678864869
"S01007066",0,0
"S01007067",1,1.98943678864869
"S01007068",2,3.97887357729738
"S01007069",2,3.97887357729738
"S01007070",1,1.98943678864869
"S01007071",1,1.98943678864869
"S01007072",3,5.96831036594608
"S01007073",0,0
"S01007074",3,5.96831036594608
"S01007075",2,3.97887357729738
"S01007076",0,0
"S01007077",2,3.97887357729738
"S01007078",2,3.97887357729738
"S01007079",1,1.98943678864869
"S01007080",4,7.95774715459477
"S01007081",4,7.95774715459477
"S01007082",3,5.96831036594608
"S01007083",2,3.97887357729738
"S01007084",0,0
"S01007085",14,27.8521150410817
"S01007086",18,35.8098621956765
"S01007087",7,13.9260575205408
"S01007088",4,7.95774715459477
"S01007089",0,0
"S01007090",0,0
"S01007091",1,1.98943678864869
"S01007092",0,0
"S01007093",0,0
"S01007094",1,1.98943678864869
"S01007095",0,0
"S01007096",1,1.98943678864869
"S01007097",0,0
"S01007098",0,0
"S01007099",1,1.98943678864869
"S01007100",1,1.98943678864869
"S01007101",2,3.97887357729738
"S01007102",0,0
"S01007103",1,1.98943678864869
"S01007104",0,0
"S01007105",2,3.97887357729738
"S01007106",2,3.97887357729738
"S01007107",0,0
"S01007108",0,0
"S01007109",2,3.97887357729738
"S01007110",3,5.96831036594608
"S01007111",3,5.96831036594608
"S01007112",0,0
"S01007113",2,3.97887357729738
"S01007114",1,1.98943678864869
"S01007115",1,1.98943678864869
"S01007116",1,1.98943678864869
"S01007117",0,0
"S01007118",3,5.96831036594608
"S01007119",2,3.97887357729738
"S01007120",2,3.97887357729738
"S01007121",13,25.862678252433
"S01007122",6,11.9366207318922
"S01007123",1,1.98943678864869
"S01007124",1,1.98943678864869
"S01007125",3,5.96831036594608
"S01007126",6,11.9366207318922
"S01007127",12,23.8732414637843
"S01007128",1,1.98943678864869
"S01007129",0,0
"S01007130",1,1.98943678864869
"S01007131",2,3.97887357729738
"S01007132",1,1.98943678864869
"S01007133",0,0
"S01007134",0,0
"S01007135",0,0
"S01007136",0,0
"S01007137",0,0
"S01007138",0,0
"S01007139",0,0
"S01007140",1,1.98943678864869
"S01007141",0,0
"S01007142",0,0
"S01007143",0,0
"S01007144",0,0
"S01007145",1,1.98943678864869
"S01007146",0,0
"S01007147",1,1.98943678864869
"S01007148",0,0
"S01007149",1,1.98943678864869
"S01007150",4,7.95774715459477
"S01007151",1,1.98943678864869
"S01007152",0,0
"S01007153",0,0
"S01007154",7,13.9260575205408
"S01007155",3,5.96831036594608
"S01007156",1,1.98943678864869
"S01007157",1,1.98943678864869
"S01007158",0,0
"S01007159",3,5.96831036594608
"S01007160",4,7.95774715459477
"S01007161",5,9.94718394324346
"S01007162",7,13.9260575205408
"S01007163",5,9.94718394324346
"S01007164",7,13.9260575205408
"S01007165",7,13.9260575205408
"S01007166",0,0
"S01007167",0,0
"S01007168",0,0
"S01007169",0,0
"S01007170",0,0
"S01007171",0,0
"S01007172",0,0
"S01007173",0,0
"S01007174",0,0
"S01007175",0,0
"S01007176",1,1.98943678864869
"S01007177",1,1.98943678864869
"S01007178",1,1.98943678864869
"S01007179",0,0
"S01007180",1,1.98943678864869
"S01007181",1,1.98943678864869
"S01007182",2,3.97887357729738
"S01007183",2,3.97887357729738
"S01007184",10,19.8943678864869
"S01007185",8,15.9154943091895
"S01007186",15,29.8415518297304
"S01007187",12,23.8732414637843
"S01007188",11,21.8838046751356
"S01007189",9,17.9049310978382
"S01007190",4,7.95774715459477
"S01007191",3,5.96831036594608
"S01007192",1,1.98943678864869
"S01007193",5,9.94718394324346
"S01007194",5,9.94718394324346
"S01007195",5,9.94718394324346
"S01007196",2,3.97887357729738
"S01007197",6,11.9366207318922
"S01007198",5,9.94718394324346
"S01007199",2,3.97887357729738
"S01007200",0,0
