"CODE","1200alcoholOff2012count","1200alcoholOff2012density"
"S01006506",4,0.884194128288307
"S01006507",4,0.884194128288307
"S01006508",4,0.884194128288307
"S01006509",4,0.884194128288307
"S01006510",4,0.884194128288307
"S01006511",4,0.884194128288307
"S01006512",0,0
"S01006513",0,0
"S01006514",0,0
"S01006515",0,0
"S01006516",0,0
"S01006517",5,1.10524266036038
"S01006518",1,0.221048532072077
"S01006519",1,0.221048532072077
"S01006520",1,0.221048532072077
"S01006521",5,1.10524266036038
"S01006522",5,1.10524266036038
"S01006523",5,1.10524266036038
"S01006524",6,1.32629119243246
"S01006525",6,1.32629119243246
"S01006526",5,1.10524266036038
"S01006527",6,1.32629119243246
"S01006528",7,1.54733972450454
"S01006529",11,2.43153385279285
"S01006530",8,1.76838825657661
"S01006531",7,1.54733972450454
"S01006532",16,3.53677651315323
"S01006533",12,2.65258238486492
"S01006534",17,3.75782504522531
"S01006535",20,4.42097064144154
"S01006536",30,6.63145596216231
"S01006537",8,1.76838825657661
"S01006538",7,1.54733972450454
"S01006539",13,2.873630916937
"S01006540",11,2.43153385279285
"S01006541",10,2.21048532072077
"S01006542",5,1.10524266036038
"S01006543",5,1.10524266036038
"S01006544",12,2.65258238486492
"S01006545",12,2.65258238486492
"S01006546",7,1.54733972450454
"S01006547",3,0.663145596216231
"S01006548",5,1.10524266036038
"S01006549",9,1.98943678864869
"S01006550",6,1.32629119243246
"S01006551",6,1.32629119243246
"S01006552",9,1.98943678864869
"S01006553",10,2.21048532072077
"S01006554",11,2.43153385279285
"S01006555",10,2.21048532072077
"S01006556",11,2.43153385279285
"S01006557",7,1.54733972450454
"S01006558",29,6.41040743009023
"S01006559",24,5.30516476972984
"S01006560",13,2.873630916937
"S01006561",14,3.09467944900908
"S01006562",11,2.43153385279285
"S01006563",15,3.31572798108115
"S01006564",60,13.2629119243246
"S01006565",58,12.8208148601805
"S01006566",48,10.6103295394597
"S01006567",56,12.3787177960363
"S01006568",45,9.94718394324346
"S01006569",40,8.84194128288307
"S01006570",31,6.85250449423438
"S01006571",36,7.95774715459477
"S01006572",10,2.21048532072077
"S01006573",15,3.31572798108115
"S01006574",15,3.31572798108115
"S01006575",19,4.19992210936946
"S01006576",23,5.08411623765777
"S01006577",27,5.96831036594608
"S01006578",39,8.620892750811
"S01006579",41,9.06298981495515
"S01006580",36,7.95774715459477
"S01006581",16,3.53677651315323
"S01006582",52,11.494523667748
"S01006583",49,10.8313780715318
"S01006584",54,11.9366207318922
"S01006585",55,12.1576692639642
"S01006586",60,13.2629119243246
"S01006587",50,11.0524266036038
"S01006588",54,11.9366207318922
"S01006589",41,9.06298981495515
"S01006590",49,10.8313780715318
"S01006591",46,10.1682324753155
"S01006592",40,8.84194128288307
"S01006593",42,9.28403834702723
"S01006594",29,6.41040743009023
"S01006595",34,7.51565009045061
"S01006596",42,9.28403834702723
"S01006597",34,7.51565009045061
"S01006598",32,7.07355302630646
"S01006599",12,2.65258238486492
"S01006600",14,3.09467944900908
"S01006601",30,6.63145596216231
"S01006602",32,7.07355302630646
"S01006603",4,0.884194128288307
"S01006604",5,1.10524266036038
"S01006605",5,1.10524266036038
"S01006606",7,1.54733972450454
"S01006607",4,0.884194128288307
"S01006608",1,0.221048532072077
"S01006609",4,0.884194128288307
"S01006610",4,0.884194128288307
"S01006611",5,1.10524266036038
"S01006612",4,0.884194128288307
"S01006613",3,0.663145596216231
"S01006614",3,0.663145596216231
"S01006615",0,0
"S01006616",3,0.663145596216231
"S01006617",3,0.663145596216231
"S01006618",4,0.884194128288307
"S01006619",4,0.884194128288307
"S01006620",4,0.884194128288307
"S01006621",4,0.884194128288307
"S01006622",4,0.884194128288307
"S01006623",5,1.10524266036038
"S01006624",16,3.53677651315323
"S01006625",14,3.09467944900908
"S01006626",14,3.09467944900908
"S01006627",14,3.09467944900908
"S01006628",20,4.42097064144154
"S01006629",15,3.31572798108115
"S01006630",13,2.873630916937
"S01006631",7,1.54733972450454
"S01006632",13,2.873630916937
"S01006633",12,2.65258238486492
"S01006634",10,2.21048532072077
"S01006635",12,2.65258238486492
"S01006636",7,1.54733972450454
"S01006637",29,6.41040743009023
"S01006638",37,8.17879568666684
"S01006639",42,9.28403834702723
"S01006640",24,5.30516476972984
"S01006641",35,7.73669862252269
"S01006642",45,9.94718394324346
"S01006643",37,8.17879568666684
"S01006644",31,6.85250449423438
"S01006645",54,11.9366207318922
"S01006646",56,12.3787177960363
"S01006647",52,11.494523667748
"S01006648",58,12.8208148601805
"S01006649",50,11.0524266036038
"S01006650",42,9.28403834702723
"S01006651",46,10.1682324753155
"S01006652",52,11.494523667748
"S01006653",34,7.51565009045061
"S01006654",32,7.07355302630646
"S01006655",33,7.29460155837854
"S01006656",54,11.9366207318922
"S01006657",29,6.41040743009023
"S01006658",41,9.06298981495515
"S01006659",37,8.17879568666684
"S01006660",31,6.85250449423438
"S01006661",34,7.51565009045061
"S01006662",30,6.63145596216231
"S01006663",32,7.07355302630646
"S01006664",35,7.73669862252269
"S01006665",35,7.73669862252269
"S01006666",8,1.76838825657661
"S01006667",15,3.31572798108115
"S01006668",25,5.52621330180192
"S01006669",14,3.09467944900908
"S01006670",27,5.96831036594608
"S01006671",10,2.21048532072077
"S01006672",12,2.65258238486492
"S01006673",11,2.43153385279285
"S01006674",9,1.98943678864869
"S01006675",20,4.42097064144154
"S01006676",21,4.64201917351361
"S01006677",27,5.96831036594608
"S01006678",12,2.65258238486492
"S01006679",13,2.873630916937
"S01006680",12,2.65258238486492
"S01006681",11,2.43153385279285
"S01006682",18,3.97887357729738
"S01006683",21,4.64201917351361
"S01006684",17,3.75782504522531
"S01006685",15,3.31572798108115
"S01006686",16,3.53677651315323
"S01006687",20,4.42097064144154
"S01006688",21,4.64201917351361
"S01006689",21,4.64201917351361
"S01006690",20,4.42097064144154
"S01006691",31,6.85250449423438
"S01006692",24,5.30516476972984
"S01006693",20,4.42097064144154
"S01006694",13,2.873630916937
"S01006695",12,2.65258238486492
"S01006696",10,2.21048532072077
"S01006697",9,1.98943678864869
"S01006698",12,2.65258238486492
"S01006699",12,2.65258238486492
"S01006700",15,3.31572798108115
"S01006701",12,2.65258238486492
"S01006702",14,3.09467944900908
"S01006703",13,2.873630916937
"S01006704",13,2.873630916937
"S01006705",13,2.873630916937
"S01006706",13,2.873630916937
"S01006707",11,2.43153385279285
"S01006708",9,1.98943678864869
"S01006709",7,1.54733972450454
"S01006710",3,0.663145596216231
"S01006711",5,1.10524266036038
"S01006712",10,2.21048532072077
"S01006713",14,3.09467944900908
"S01006714",13,2.873630916937
"S01006715",16,3.53677651315323
"S01006716",17,3.75782504522531
"S01006717",16,3.53677651315323
"S01006718",16,3.53677651315323
"S01006719",8,1.76838825657661
"S01006720",7,1.54733972450454
"S01006721",7,1.54733972450454
"S01006722",13,2.873630916937
"S01006723",11,2.43153385279285
"S01006724",14,3.09467944900908
"S01006725",7,1.54733972450454
"S01006726",14,3.09467944900908
"S01006727",11,2.43153385279285
"S01006728",10,2.21048532072077
"S01006729",16,3.53677651315323
"S01006730",6,1.32629119243246
"S01006731",6,1.32629119243246
"S01006732",1,0.221048532072077
"S01006733",1,0.221048532072077
"S01006734",1,0.221048532072077
"S01006735",1,0.221048532072077
"S01006736",1,0.221048532072077
"S01006737",1,0.221048532072077
"S01006738",7,1.54733972450454
"S01006739",10,2.21048532072077
"S01006740",6,1.32629119243246
"S01006741",4,0.884194128288307
"S01006742",4,0.884194128288307
"S01006743",3,0.663145596216231
"S01006744",6,1.32629119243246
"S01006745",6,1.32629119243246
"S01006746",5,1.10524266036038
"S01006747",5,1.10524266036038
"S01006748",5,1.10524266036038
"S01006749",5,1.10524266036038
"S01006750",4,0.884194128288307
"S01006751",4,0.884194128288307
"S01006752",4,0.884194128288307
"S01006753",5,1.10524266036038
"S01006754",5,1.10524266036038
"S01006755",4,0.884194128288307
"S01006756",10,2.21048532072077
"S01006757",4,0.884194128288307
"S01006758",6,1.32629119243246
"S01006759",11,2.43153385279285
"S01006760",3,0.663145596216231
"S01006761",3,0.663145596216231
"S01006762",2,0.442097064144154
"S01006763",2,0.442097064144154
"S01006764",2,0.442097064144154
"S01006765",2,0.442097064144154
"S01006766",2,0.442097064144154
"S01006767",3,0.663145596216231
"S01006768",3,0.663145596216231
"S01006769",3,0.663145596216231
"S01006770",3,0.663145596216231
"S01006771",3,0.663145596216231
"S01006772",5,1.10524266036038
"S01006773",3,0.663145596216231
"S01006774",3,0.663145596216231
"S01006775",12,2.65258238486492
"S01006776",7,1.54733972450454
"S01006777",6,1.32629119243246
"S01006778",7,1.54733972450454
"S01006779",7,1.54733972450454
"S01006780",7,1.54733972450454
"S01006781",5,1.10524266036038
"S01006782",5,1.10524266036038
"S01006783",6,1.32629119243246
"S01006784",6,1.32629119243246
"S01006785",0,0
"S01006786",0,0
"S01006787",3,0.663145596216231
"S01006788",0,0
"S01006789",4,0.884194128288307
"S01006790",4,0.884194128288307
"S01006791",0,0
"S01006792",0,0
"S01006793",3,0.663145596216231
"S01006794",1,0.221048532072077
"S01006795",1,0.221048532072077
"S01006796",0,0
"S01006797",0,0
"S01006798",0,0
"S01006799",1,0.221048532072077
"S01006800",0,0
"S01006801",2,0.442097064144154
"S01006802",2,0.442097064144154
"S01006803",2,0.442097064144154
"S01006804",2,0.442097064144154
"S01006805",2,0.442097064144154
"S01006806",0,0
"S01006807",0,0
"S01006808",1,0.221048532072077
"S01006809",1,0.221048532072077
"S01006810",1,0.221048532072077
"S01006811",0,0
"S01006812",0,0
"S01006813",1,0.221048532072077
"S01006814",2,0.442097064144154
"S01006815",2,0.442097064144154
"S01006816",2,0.442097064144154
"S01006817",0,0
"S01006818",0,0
"S01006819",0,0
"S01006820",1,0.221048532072077
"S01006821",0,0
"S01006822",0,0
"S01006823",8,1.76838825657661
"S01006824",9,1.98943678864869
"S01006825",6,1.32629119243246
"S01006826",3,0.663145596216231
"S01006827",9,1.98943678864869
"S01006828",7,1.54733972450454
"S01006829",6,1.32629119243246
"S01006830",3,0.663145596216231
"S01006831",7,1.54733972450454
"S01006832",9,1.98943678864869
"S01006833",9,1.98943678864869
"S01006834",2,0.442097064144154
"S01006835",7,1.54733972450454
"S01006836",6,1.32629119243246
"S01006837",2,0.442097064144154
"S01006838",3,0.663145596216231
"S01006839",2,0.442097064144154
"S01006840",2,0.442097064144154
"S01006841",2,0.442097064144154
"S01006842",3,0.663145596216231
"S01006843",3,0.663145596216231
"S01006844",3,0.663145596216231
"S01006845",3,0.663145596216231
"S01006846",3,0.663145596216231
"S01006847",3,0.663145596216231
"S01006848",0,0
"S01006849",1,0.221048532072077
"S01006850",2,0.442097064144154
"S01006851",3,0.663145596216231
"S01006852",0,0
"S01006853",0,0
"S01006854",0,0
"S01006855",0,0
"S01006856",1,0.221048532072077
"S01006857",0,0
"S01006858",0,0
"S01006859",4,0.884194128288307
"S01006860",6,1.32629119243246
"S01006861",3,0.663145596216231
"S01006862",5,1.10524266036038
"S01006863",3,0.663145596216231
"S01006864",3,0.663145596216231
"S01006865",5,1.10524266036038
"S01006866",6,1.32629119243246
"S01006867",4,0.884194128288307
"S01006868",6,1.32629119243246
"S01006869",1,0.221048532072077
"S01006870",2,0.442097064144154
"S01006871",2,0.442097064144154
"S01006872",0,0
"S01006873",0,0
"S01006874",0,0
"S01006875",1,0.221048532072077
"S01006876",1,0.221048532072077
"S01006877",0,0
"S01006878",1,0.221048532072077
"S01006879",0,0
"S01006880",0,0
"S01006881",0,0
"S01006882",3,0.663145596216231
"S01006883",3,0.663145596216231
"S01006884",3,0.663145596216231
"S01006885",2,0.442097064144154
"S01006886",0,0
"S01006887",3,0.663145596216231
"S01006888",0,0
"S01006889",2,0.442097064144154
"S01006890",2,0.442097064144154
"S01006891",2,0.442097064144154
"S01006892",2,0.442097064144154
"S01006893",2,0.442097064144154
"S01006894",11,2.43153385279285
"S01006895",11,2.43153385279285
"S01006896",11,2.43153385279285
"S01006897",9,1.98943678864869
"S01006898",2,0.442097064144154
"S01006899",2,0.442097064144154
"S01006900",3,0.663145596216231
"S01006901",5,1.10524266036038
"S01006902",7,1.54733972450454
"S01006903",1,0.221048532072077
"S01006904",3,0.663145596216231
"S01006905",10,2.21048532072077
"S01006906",10,2.21048532072077
"S01006907",9,1.98943678864869
"S01006908",11,2.43153385279285
"S01006909",2,0.442097064144154
"S01006910",0,0
"S01006911",8,1.76838825657661
"S01006912",0,0
"S01006913",2,0.442097064144154
"S01006914",0,0
"S01006915",0,0
"S01006916",1,0.221048532072077
"S01006917",0,0
"S01006918",1,0.221048532072077
"S01006919",0,0
"S01006920",0,0
"S01006921",0,0
"S01006922",0,0
"S01006923",0,0
"S01006924",1,0.221048532072077
"S01006925",3,0.663145596216231
"S01006926",3,0.663145596216231
"S01006927",3,0.663145596216231
"S01006928",3,0.663145596216231
"S01006929",3,0.663145596216231
"S01006930",5,1.10524266036038
"S01006931",0,0
"S01006932",1,0.221048532072077
"S01006933",5,1.10524266036038
"S01006934",1,0.221048532072077
"S01006935",5,1.10524266036038
"S01006936",5,1.10524266036038
"S01006937",6,1.32629119243246
"S01006938",6,1.32629119243246
"S01006939",4,0.884194128288307
"S01006940",6,1.32629119243246
"S01006941",6,1.32629119243246
"S01006942",1,0.221048532072077
"S01006943",1,0.221048532072077
"S01006944",1,0.221048532072077
"S01006945",1,0.221048532072077
"S01006946",0,0
"S01006947",0,0
"S01006948",0,0
"S01006949",0,0
"S01006950",0,0
"S01006951",0,0
"S01006952",1,0.221048532072077
"S01006953",2,0.442097064144154
"S01006954",1,0.221048532072077
"S01006955",2,0.442097064144154
"S01006956",2,0.442097064144154
"S01006957",0,0
"S01006958",3,0.663145596216231
"S01006959",4,0.884194128288307
"S01006960",2,0.442097064144154
"S01006961",3,0.663145596216231
"S01006962",4,0.884194128288307
"S01006963",4,0.884194128288307
