"CODE","2000alcoholOff2012count","2000alcoholOff2012density"
"S01006506",4,0.318309886183791
"S01006507",4,0.318309886183791
"S01006508",4,0.318309886183791
"S01006509",4,0.318309886183791
"S01006510",4,0.318309886183791
"S01006511",4,0.318309886183791
"S01006512",2,0.159154943091895
"S01006513",0,0
"S01006514",3,0.238732414637843
"S01006515",0,0
"S01006516",1,0.0795774715459477
"S01006517",6,0.477464829275686
"S01006518",6,0.477464829275686
"S01006519",6,0.477464829275686
"S01006520",6,0.477464829275686
"S01006521",14,1.11408460164327
"S01006522",6,0.477464829275686
"S01006523",6,0.477464829275686
"S01006524",6,0.477464829275686
"S01006525",6,0.477464829275686
"S01006526",16,1.27323954473516
"S01006527",14,1.11408460164327
"S01006528",16,1.27323954473516
"S01006529",33,2.62605656101627
"S01006530",22,1.75070437401085
"S01006531",18,1.43239448782706
"S01006532",46,3.66056369111359
"S01006533",35,2.78521150410817
"S01006534",56,4.45633840657307
"S01006535",67,5.33169059357849
"S01006536",77,6.12746530903797
"S01006537",16,1.27323954473516
"S01006538",15,1.19366207318922
"S01006539",35,2.78521150410817
"S01006540",26,2.06901426019464
"S01006541",23,1.8302818455568
"S01006542",18,1.43239448782706
"S01006543",20,1.59154943091895
"S01006544",33,2.62605656101627
"S01006545",33,2.62605656101627
"S01006546",22,1.75070437401085
"S01006547",14,1.11408460164327
"S01006548",15,1.19366207318922
"S01006549",28,2.22816920328654
"S01006550",16,1.27323954473516
"S01006551",16,1.27323954473516
"S01006552",18,1.43239448782706
"S01006553",24,1.90985931710274
"S01006554",30,2.38732414637843
"S01006555",20,1.59154943091895
"S01006556",24,1.90985931710274
"S01006557",15,1.19366207318922
"S01006558",90,7.16197243913529
"S01006559",82,6.52535266676771
"S01006560",76,6.04788783749202
"S01006561",72,5.72957795130823
"S01006562",38,3.02394391874601
"S01006563",79,6.28662025212987
"S01006564",93,7.40070485377313
"S01006565",92,7.32112738222719
"S01006566",91,7.24154991068124
"S01006567",90,7.16197243913529
"S01006568",88,7.0028174960434
"S01006569",88,7.0028174960434
"S01006570",89,7.08239496758934
"S01006571",80,6.36619772367581
"S01006572",52,4.13802852038928
"S01006573",69,5.49084553667039
"S01006574",64,5.09295817894065
