"CODE","1600alcoholTOTAL2016count","1600alcoholTOTAL2016density"
"S01006506",16,1.98943678864869
"S01006507",14,1.74075719006761
"S01006508",13,1.61641739077706
"S01006509",15,1.86509698935815
"S01006510",15,1.86509698935815
"S01006511",16,1.98943678864869
"S01006512",1,0.124339799290543
"S01006513",1,0.124339799290543
"S01006514",5,0.621698996452716
"S01006515",1,0.124339799290543
"S01006516",1,0.124339799290543
"S01006517",9,1.11905819361489
"S01006518",6,0.746038795743259
"S01006519",8,0.994718394324346
"S01006520",4,0.497359197162173
"S01006521",14,1.74075719006761
"S01006522",8,0.994718394324346
"S01006523",12,1.49207759148652
"S01006524",10,1.24339799290543
"S01006525",8,0.994718394324346
"S01006526",19,2.36245618652032
"S01006527",20,2.48679598581086
"S01006528",24,2.98415518297304
"S01006529",40,4.97359197162173
"S01006530",27,3.35717458084467
"S01006531",26,3.23283478155412
"S01006532",68,8.45510635175694
"S01006533",54,6.71434916168933
"S01006534",107,13.3043585240881
"S01006535",153,19.0239892914531
"S01006536",274,34.0691050056088
"S01006537",25,3.10849498226358
"S01006538",27,3.35717458084467
"S01006539",50,6.21698996452716
"S01006540",37,4.6005725737501
"S01006541",27,3.35717458084467
"S01006542",19,2.36245618652032
"S01006543",22,2.73547558439195
"S01006544",42,5.22227157020282
"S01006545",46,5.71963076736499
"S01006546",30,3.7301939787163
"S01006547",15,1.86509698935815
"S01006548",16,1.98943678864869
"S01006549",36,4.47623277445956
"S01006550",27,3.35717458084467
"S01006551",24,2.98415518297304
"S01006552",26,3.23283478155412
"S01006553",32,3.97887357729738
"S01006554",31,3.85453377800684
"S01006555",25,3.10849498226358
"S01006556",30,3.7301939787163
"S01006557",23,2.85981538368249
"S01006558",241,29.9658916290209
"S01006559",184,22.87852306946
"S01006560",126,15.6668147106084
"S01006561",75,9.32548494679074
"S01006562",40,4.97359197162173
"S01006563",96,11.9366207318922
"S01006564",376,46.7517645332443
"S01006565",377,46.8761043325348
"S01006566",367,45.6327063396294
"S01006567",377,46.8761043325348
"S01006568",364,45.2596869417577
"S01006569",294,36.5559009914197
"S01006570",280,34.8151438013521
"S01006571",265,32.950046811994
"S01006572",49,6.09265016523662
"S01006573",138,17.158892302095
"S01006574",130,16.1641739077706
"S01006575",131,16.2885137070612
"S01006576",199,24.7436200588181
"S01006577",175,21.7594648758451
"S01006578",298,37.0532601885819
"S01006579",336,41.7781725616225
"S01006580",235,29.2198528332777
"S01006581",71,8.82812574962857
"S01006582",384,47.7464829275686
"S01006583",370,46.005725737501
"S01006584",376,46.7517645332443
"S01006585",379,47.1247839311159
"S01006586",390,48.4925217233119
"S01006587",389,48.3681819240213
"S01006588",391,48.6168615226024
"S01006589",375,46.6274247339537
"S01006590",379,47.1247839311159
"S01006591",368,45.7570461389199
"S01006592",339,42.1511919594942
"S01006593",363,45.1353471424672
"S01006594",306,38.0479785829062
"S01006595",357,44.3893083467239
"S01006596",352,43.7676093502712
"S01006597",346,43.021570554528
"S01006598",305,37.9236387836157
"S01006599",47,5.84397056665553
"S01006600",128,15.9154943091895
"S01006601",246,30.5875906254736
"S01006602",297,36.9289203892913
"S01006603",13,1.61641739077706
"S01006604",19,2.36245618652032
"S01006605",20,2.48679598581086
"S01006606",30,3.7301939787163
"S01006607",24,2.98415518297304
"S01006608",8,0.994718394324346
"S01006609",13,1.61641739077706
"S01006610",15,1.86509698935815
"S01006611",13,1.61641739077706
"S01006612",11,1.36773779219598
"S01006613",10,1.24339799290543
"S01006614",8,0.994718394324346
"S01006615",7,0.870378595033803
"S01006616",10,1.24339799290543
"S01006617",10,1.24339799290543
"S01006618",10,1.24339799290543
"S01006619",10,1.24339799290543
"S01006620",10,1.24339799290543
"S01006621",10,1.24339799290543
"S01006622",10,1.24339799290543
"S01006623",13,1.61641739077706
"S01006624",254,31.582309019798
"S01006625",101,12.5583197283449
"S01006626",156,19.3970086893247
"S01006627",187,23.2515424673316
"S01006628",293,36.4315611921292
"S01006629",76,9.44982474608129
"S01006630",36,4.47623277445956
"S01006631",41,5.09793177091227
"S01006632",91,11.3149217354394
"S01006633",33,4.10321337658793
"S01006634",29,3.60585417942575
"S01006635",62,7.70906755601368
"S01006636",24,2.98415518297304
"S01006637",352,43.7676093502712
"S01006638",341,42.3998715580752
"S01006639",371,46.1300655367915
"S01006640",299,37.1775999878724
"S01006641",299,37.1775999878724
"S01006642",364,45.2596869417577
"S01006643",322,40.0374153715549
"S01006644",253,31.4579692205074
"S01006645",387,48.1195023254402
"S01006646",390,48.4925217233119
"S01006647",378,47.0004441318253
"S01006648",387,48.1195023254402
"S01006649",366,45.5083665403388
"S01006650",290,36.0585417942575
"S01006651",343,42.6485511566563
"S01006652",368,45.7570461389199
"S01006653",107,13.3043585240881
"S01006654",90,11.1905819361489
"S01006655",176,21.8838046751356
"S01006656",379,47.1247839311159
"S01006657",100,12.4339799290543
"S01006658",267,33.198726410575
"S01006659",182,22.6298434708789
"S01006660",90,11.1905819361489
"S01006661",145,18.0292708971288
"S01006662",91,11.3149217354394
"S01006663",143,17.7805912985477
"S01006664",204,25.3653190552708
"S01006665",217,26.9817364460479
"S01006666",49,6.09265016523662
"S01006667",69,8.57944615104748
"S01006668",133,16.5371933056422
"S01006669",73,9.07680534820966
"S01006670",182,22.6298434708789
"S01006671",43,5.34661136949336
"S01006672",63,7.83340735530422
"S01006673",49,6.09265016523662
"S01006674",47,5.84397056665553
"S01006675",61,7.58472775672314
"S01006676",66,8.20642675317585
"S01006677",72,8.95246554891911
"S01006678",55,6.83868896097988
"S01006679",45,5.59529096807444
"S01006680",48,5.96831036594608
"S01006681",35,4.35189297516901
"S01006682",53,6.59000936239879
"S01006683",67,8.3307665524664
"S01006684",51,6.3413297638177
"S01006685",39,4.84925217233119
"S01006686",45,5.59529096807444
"S01006687",38,4.72491237304064
"S01006688",44,5.4709511687839
"S01006689",61,7.58472775672314
"S01006690",49,6.09265016523662
"S01006691",85,10.5688829396962
"S01006692",73,9.07680534820966
"S01006693",44,5.4709511687839
"S01006694",30,3.7301939787163
"S01006695",50,6.21698996452716
"S01006696",51,6.3413297638177
"S01006697",54,6.71434916168933
"S01006698",34,4.22755317587847
"S01006699",53,6.59000936239879
"S01006700",60,7.46038795743259
"S01006701",31,3.85453377800684
"S01006702",35,4.35189297516901
"S01006703",32,3.97887357729738
"S01006704",32,3.97887357729738
"S01006705",34,4.22755317587847
"S01006706",35,4.35189297516901
"S01006707",33,4.10321337658793
"S01006708",29,3.60585417942575
"S01006709",23,2.85981538368249
"S01006710",17,2.11377658793923
"S01006711",22,2.73547558439195
"S01006712",29,3.60585417942575
"S01006713",33,4.10321337658793
"S01006714",36,4.47623277445956
"S01006715",36,4.47623277445956
"S01006716",42,5.22227157020282
"S01006717",39,4.84925217233119
"S01006718",47,5.84397056665553
"S01006719",25,3.10849498226358
"S01006720",27,3.35717458084467
"S01006721",29,3.60585417942575
"S01006722",34,4.22755317587847
"S01006723",38,4.72491237304064
"S01006724",32,3.97887357729738
"S01006725",30,3.7301939787163
"S01006726",41,5.09793177091227
"S01006727",36,4.47623277445956
"S01006728",27,3.35717458084467
"S01006729",40,4.97359197162173
