"CODE","1600alcoholOn2012count","1600alcoholOn2012density"
"S01006506",10,1.24339799290543
"S01006507",9,1.11905819361489
"S01006508",8,0.994718394324346
"S01006509",10,1.24339799290543
"S01006510",10,1.24339799290543
"S01006511",11,1.36773779219598
"S01006512",1,0.124339799290543
"S01006513",1,0.124339799290543
"S01006514",4,0.497359197162173
"S01006515",1,0.124339799290543
"S01006516",1,0.124339799290543
"S01006517",4,0.497359197162173
"S01006518",2,0.248679598581086
"S01006519",3,0.37301939787163
"S01006520",2,0.248679598581086
"S01006521",9,1.11905819361489
"S01006522",5,0.621698996452716
"S01006523",7,0.870378595033803
"S01006524",5,0.621698996452716
"S01006525",3,0.37301939787163
"S01006526",12,1.49207759148652
"S01006527",12,1.49207759148652
"S01006528",13,1.61641739077706
"S01006529",20,2.48679598581086
"S01006530",15,1.86509698935815
"S01006531",15,1.86509698935815
"S01006532",46,5.71963076736499
"S01006533",32,3.97887357729738
"S01006534",83,10.3202033411151
"S01006535",123,15.2937953127368
"S01006536",221,27.4790956432101
"S01006537",15,1.86509698935815
"S01006538",15,1.86509698935815
"S01006539",30,3.7301939787163
"S01006540",22,2.73547558439195
"S01006541",18,2.23811638722978
"S01006542",13,1.61641739077706
"S01006543",15,1.86509698935815
"S01006544",27,3.35717458084467
"S01006545",27,3.35717458084467
"S01006546",20,2.48679598581086
"S01006547",7,0.870378595033803
"S01006548",11,1.36773779219598
"S01006549",23,2.85981538368249
"S01006550",17,2.11377658793923
"S01006551",12,1.49207759148652
"S01006552",12,1.49207759148652
"S01006553",20,2.48679598581086
"S01006554",16,1.98943678864869
"S01006555",12,1.49207759148652
"S01006556",14,1.74075719006761
"S01006557",9,1.11905819361489
"S01006558",181,22.5055036715883
"S01006559",146,18.1536106964193
"S01006560",96,11.9366207318922
"S01006561",50,6.21698996452716
"S01006562",20,2.48679598581086
"S01006563",63,7.83340735530422
"S01006564",294,36.5559009914197
"S01006565",293,36.4315611921292
"S01006566",284,35.3125029985143
"S01006567",292,36.3072213928386
"S01006568",282,35.0638233999332
"S01006569",229,28.4738140375344
"S01006570",218,27.1060762453384
"S01006571",206,25.6139986538519
"S01006572",32,3.97887357729738
"S01006573",110,13.6773779219598
"S01006574",102,12.6826595276354
"S01006575",100,12.4339799290543
"S01006576",163,20.2673872843585
"S01006577",144,17.9049310978382
"S01006578",236,29.3441926325682
"S01006579",267,33.198726410575
"S01006580",192,23.8732414637843
"S01006581",48,5.96831036594608
"S01006582",297,36.9289203892913
"S01006583",294,36.5559009914197
"S01006584",297,36.9289203892913
"S01006585",298,37.0532601885819
"S01006586",296,36.8045805900008
"S01006587",307,38.1723183821968
"S01006588",308,38.2966581814873
"S01006589",302,37.5506193857441
"S01006590",293,36.4315611921292
"S01006591",288,35.8098621956765
"S01006592",277,34.4421244034805
"S01006593",288,35.8098621956765
"S01006594",238,29.5928722311493
"S01006595",284,35.3125029985143
"S01006596",284,35.3125029985143
"S01006597",275,34.1934448048994
"S01006598",244,30.3389110268925
"S01006599",25,3.10849498226358
"S01006600",94,11.6879411333111
"S01006601",196,24.3706006609465
"S01006602",237,29.4685324318587
"S01006603",6,0.746038795743259
"S01006604",8,0.994718394324346
"S01006605",10,1.24339799290543
"S01006606",13,1.61641739077706
"S01006607",11,1.36773779219598
"S01006608",4,0.497359197162173
"S01006609",7,0.870378595033803
"S01006610",8,0.994718394324346
"S01006611",7,0.870378595033803
"S01006612",6,0.746038795743259
"S01006613",5,0.621698996452716
"S01006614",5,0.621698996452716
"S01006615",4,0.497359197162173
"S01006616",5,0.621698996452716
"S01006617",6,0.746038795743259
"S01006618",6,0.746038795743259
"S01006619",7,0.870378595033803
"S01006620",7,0.870378595033803
"S01006621",7,0.870378595033803
"S01006622",7,0.870378595033803
"S01006623",6,0.746038795743259
"S01006624",208,25.862678252433
"S01006625",69,8.57944615104748
"S01006626",122,15.1694555134463
"S01006627",152,18.8996494921626
"S01006628",241,29.9658916290209
"S01006629",48,5.96831036594608
"S01006630",19,2.36245618652032
"S01006631",31,3.85453377800684
"S01006632",63,7.83340735530422
"S01006633",18,2.23811638722978
"S01006634",16,1.98943678864869
"S01006635",41,5.09793177091227
"S01006636",12,1.49207759148652
"S01006637",283,35.1881631992237
"S01006638",279,34.6908040020616
"S01006639",296,36.8045805900008
"S01006640",234,29.0955130339871
"S01006641",234,29.0955130339871
"S01006642",288,35.8098621956765
"S01006643",255,31.7066488190885
"S01006644",174,21.6351250765545
"S01006645",306,38.0479785829062
"S01006646",310,38.5453377800684
"S01006647",303,37.6749591850346
"S01006648",303,37.6749591850346
"S01006649",287,35.6855223963859
"S01006650",216,26.8573966467573
"S01006651",244,30.3389110268925
"S01006652",283,35.1881631992237
"S01006653",58,7.21170835885151
"S01006654",46,5.71963076736499
"S01006655",109,13.5530381226692
"S01006656",292,36.3072213928386
"S01006657",49,6.09265016523662
"S01006658",195,24.2462608616559
"S01006659",120,14.9207759148652
"S01006660",43,5.34661136949336
"S01006661",84,10.4445431404056
"S01006662",46,5.71963076736499
"S01006663",84,10.4445431404056
"S01006664",141,17.5319116999666
"S01006665",153,19.0239892914531
"S01006666",26,3.23283478155412
"S01006667",35,4.35189297516901
"S01006668",88,10.9419023375678
"S01006669",36,4.47623277445956
"S01006670",128,15.9154943091895
"S01006671",26,3.23283478155412
"S01006672",31,3.85453377800684
"S01006673",27,3.35717458084467
"S01006674",25,3.10849498226358
"S01006675",26,3.23283478155412
"S01006676",31,3.85453377800684
"S01006677",34,4.22755317587847
"S01006678",24,2.98415518297304
"S01006679",17,2.11377658793923
"S01006680",18,2.23811638722978
"S01006681",11,1.36773779219598
"S01006682",20,2.48679598581086
"S01006683",31,3.85453377800684
"S01006684",20,2.48679598581086
"S01006685",13,1.61641739077706
"S01006686",14,1.74075719006761
"S01006687",12,1.49207759148652
"S01006688",14,1.74075719006761
"S01006689",22,2.73547558439195
"S01006690",18,2.23811638722978
"S01006691",38,4.72491237304064
"S01006692",31,3.85453377800684
"S01006693",12,1.49207759148652
"S01006694",10,1.24339799290543
"S01006695",18,2.23811638722978
"S01006696",19,2.36245618652032
"S01006697",20,2.48679598581086
"S01006698",10,1.24339799290543
"S01006699",19,2.36245618652032
"S01006700",22,2.73547558439195
"S01006701",12,1.49207759148652
"S01006702",12,1.49207759148652
"S01006703",11,1.36773779219598
"S01006704",12,1.49207759148652
"S01006705",11,1.36773779219598
"S01006706",13,1.61641739077706
"S01006707",13,1.61641739077706
"S01006708",11,1.36773779219598
"S01006709",9,1.11905819361489
"S01006710",5,0.621698996452716
"S01006711",6,0.746038795743259
"S01006712",10,1.24339799290543
"S01006713",12,1.49207759148652
"S01006714",11,1.36773779219598
"S01006715",11,1.36773779219598
"S01006716",15,1.86509698935815
"S01006717",12,1.49207759148652
"S01006718",16,1.98943678864869
"S01006719",7,0.870378595033803
"S01006720",8,0.994718394324346
"S01006721",8,0.994718394324346
"S01006722",10,1.24339799290543
"S01006723",11,1.36773779219598
"S01006724",9,1.11905819361489
"S01006725",7,0.870378595033803
"S01006726",13,1.61641739077706
"S01006727",12,1.49207759148652
"S01006728",9,1.11905819361489
"S01006729",11,1.36773779219598
"S01006730",8,0.994718394324346
"S01006731",9,1.11905819361489
"S01006732",0,0
"S01006733",1,0.124339799290543
"S01006734",1,0.124339799290543
"S01006735",1,0.124339799290543
"S01006736",1,0.124339799290543
"S01006737",1,0.124339799290543
"S01006738",12,1.49207759148652
"S01006739",11,1.36773779219598
"S01006740",12,1.49207759148652
"S01006741",9,1.11905819361489
"S01006742",7,0.870378595033803
"S01006743",15,1.86509698935815
"S01006744",11,1.36773779219598
"S01006745",12,1.49207759148652
"S01006746",9,1.11905819361489
"S01006747",12,1.49207759148652
"S01006748",13,1.61641739077706
"S01006749",8,0.994718394324346
"S01006750",8,0.994718394324346
"S01006751",10,1.24339799290543
"S01006752",10,1.24339799290543
"S01006753",12,1.49207759148652
"S01006754",12,1.49207759148652
"S01006755",10,1.24339799290543
"S01006756",14,1.74075719006761
"S01006757",10,1.24339799290543
"S01006758",12,1.49207759148652
"S01006759",12,1.49207759148652
"S01006760",9,1.11905819361489
"S01006761",7,0.870378595033803
"S01006762",4,0.497359197162173
"S01006763",2,0.248679598581086
"S01006764",4,0.497359197162173
"S01006765",3,0.37301939787163
"S01006766",2,0.248679598581086
"S01006767",5,0.621698996452716
"S01006768",7,0.870378595033803
"S01006769",7,0.870378595033803
"S01006770",8,0.994718394324346
"S01006771",5,0.621698996452716
"S01006772",7,0.870378595033803
"S01006773",5,0.621698996452716
"S01006774",5,0.621698996452716
"S01006775",19,2.36245618652032
"S01006776",17,2.11377658793923
"S01006777",8,0.994718394324346
"S01006778",11,1.36773779219598
"S01006779",17,2.11377658793923
"S01006780",17,2.11377658793923
"S01006781",15,1.86509698935815
"S01006782",15,1.86509698935815
"S01006783",14,1.74075719006761
"S01006784",16,1.98943678864869
"S01006785",7,0.870378595033803
"S01006786",9,1.11905819361489
"S01006787",10,1.24339799290543
"S01006788",7,0.870378595033803
"S01006789",15,1.86509698935815
"S01006790",15,1.86509698935815
"S01006791",0,0
"S01006792",0,0
"S01006793",10,1.24339799290543
"S01006794",6,0.746038795743259
"S01006795",6,0.746038795743259
