"CODE","2000alcoholOff2016count","2000alcoholOff2016density"
"S01006506",5,0.397887357729738
"S01006507",5,0.397887357729738
"S01006508",5,0.397887357729738
"S01006509",5,0.397887357729738
"S01006510",5,0.397887357729738
"S01006511",5,0.397887357729738
"S01006512",2,0.159154943091895
"S01006513",0,0
"S01006514",4,0.318309886183791
"S01006515",0,0
"S01006516",2,0.159154943091895
"S01006517",5,0.397887357729738
"S01006518",5,0.397887357729738
"S01006519",5,0.397887357729738
"S01006520",5,0.397887357729738
"S01006521",11,0.875352187005424
"S01006522",5,0.397887357729738
"S01006523",5,0.397887357729738
"S01006524",5,0.397887357729738
"S01006525",5,0.397887357729738
"S01006526",14,1.11408460164327
"S01006527",13,1.03450713009732
"S01006528",15,1.19366207318922
"S01006529",30,2.38732414637843
"S01006530",21,1.6711269024649
"S01006531",17,1.35281701628111
"S01006532",41,3.26267633338385
"S01006533",32,2.54647908947033
"S01006534",51,4.05845104884333
"S01006535",64,5.09295817894065
"S01006536",76,6.04788783749202
"S01006537",13,1.03450713009732
"S01006538",12,0.954929658551372
"S01006539",32,2.54647908947033
"S01006540",24,1.90985931710274
"S01006541",21,1.6711269024649
"S01006542",16,1.27323954473516
"S01006543",15,1.19366207318922
"S01006544",29,2.30774667483248
"S01006545",30,2.38732414637843
"S01006546",20,1.59154943091895
"S01006547",15,1.19366207318922
"S01006548",13,1.03450713009732
"S01006549",28,2.22816920328654
"S01006550",15,1.19366207318922
"S01006551",17,1.35281701628111
"S01006552",19,1.51197195937301
"S01006553",24,1.90985931710274
"S01006554",31,2.46690161792438
"S01006555",23,1.8302818455568
"S01006556",26,2.06901426019464
"S01006557",18,1.43239448782706
"S01006558",89,7.08239496758934
"S01006559",78,6.20704278058392
"S01006560",73,5.80915542285418
"S01006561",69,5.49084553667039
"S01006562",37,2.94436644720006
"S01006563",77,6.12746530903797
"S01006564",96,7.63943726841098
"S01006565",94,7.48028232531908
"S01006566",90,7.16197243913529
"S01006567",91,7.24154991068124
"S01006568",88,7.0028174960434
"S01006569",87,6.92324002449745
"S01006570",88,7.0028174960434
"S01006571",79,6.28662025212987
"S01006572",46,3.66056369111359
"S01006573",64,5.09295817894065
"S01006574",57,4.53591587811902
"S01006575",47,3.74014116265954
"S01006576",64,5.09295817894065
"S01006577",63,5.0133807073947
"S01006578",78,6.20704278058392
"S01006579",85,6.76408508140555
"S01006580",70,5.57042300821634
"S01006581",39,3.10352139029196
"S01006582",93,7.40070485377313
"S01006583",89,7.08239496758934
"S01006584",95,7.55985979686503
"S01006585",96,7.63943726841098
"S01006586",97,7.71901473995692
"S01006587",90,7.16197243913529
"S01006588",97,7.71901473995692
"S01006589",90,7.16197243913529
"S01006590",92,7.32112738222719
"S01006591",90,7.16197243913529
"S01006592",81,6.44577519522176
"S01006593",89,7.08239496758934
"S01006594",73,5.80915542285418
"S01006595",83,6.60493013831366
"S01006596",86,6.8436625529515
"S01006597",83,6.60493013831366
"S01006598",71,5.65000047976228
"S01006599",41,3.26267633338385
"S01006600",52,4.13802852038928
"S01006601",66,5.25211312203255
"S01006602",69,5.49084553667039
"S01006603",10,0.795774715459477
"S01006604",22,1.75070437401085
"S01006605",22,1.75070437401085
"S01006606",30,2.38732414637843
"S01006607",29,2.30774667483248
"S01006608",5,0.397887357729738
"S01006609",16,1.27323954473516
