"CODE","2000alcoholOn2016count","2000alcoholOn2016density"
"S01006506",12,0.954929658551372
"S01006507",10,0.795774715459477
"S01006508",11,0.875352187005424
"S01006509",11,0.875352187005424
"S01006510",12,0.954929658551372
"S01006511",12,0.954929658551372
"S01006512",4,0.318309886183791
"S01006513",2,0.159154943091895
"S01006514",6,0.477464829275686
"S01006515",2,0.159154943091895
"S01006516",4,0.318309886183791
"S01006517",5,0.397887357729738
"S01006518",4,0.318309886183791
"S01006519",5,0.397887357729738
"S01006520",2,0.159154943091895
"S01006521",12,0.954929658551372
"S01006522",9,0.716197243913529
"S01006523",9,0.716197243913529
"S01006524",8,0.636619772367581
"S01006525",5,0.397887357729738
"S01006526",18,1.43239448782706
"S01006527",19,1.51197195937301
"S01006528",20,1.59154943091895
"S01006529",51,4.05845104884333
"S01006530",25,1.98943678864869
"S01006531",21,1.6711269024649
"S01006532",109,8.6739443985083
"S01006533",69,5.49084553667039
"S01006534",166,13.2098602766273
"S01006535",248,19.735212943395
"S01006536",305,24.271128821514
"S01006537",26,2.06901426019464
"S01006538",24,1.90985931710274
"S01006539",59,4.69507082121091
"S01006540",32,2.54647908947033
"S01006541",28,2.22816920328654
"S01006542",23,1.8302818455568
"S01006543",20,1.59154943091895
"S01006544",41,3.26267633338385
"S01006545",57,4.53591587811902
"S01006546",31,2.46690161792438
"S01006547",12,0.954929658551372
"S01006548",22,1.75070437401085
"S01006549",28,2.22816920328654
"S01006550",24,1.90985931710274
"S01006551",15,1.19366207318922
"S01006552",19,1.51197195937301
"S01006553",24,1.90985931710274
"S01006554",26,2.06901426019464
"S01006555",15,1.19366207318922
"S01006556",20,1.59154943091895
"S01006557",11,0.875352187005424
"S01006558",306,24.35070629306
"S01006559",280,22.2816920328653
"S01006560",211,16.790846496195
"S01006561",149,11.8570432603462
"S01006562",29,2.30774667483248
"S01006563",187,14.8809871790922
"S01006564",319,25.3852134231573
"S01006565",337,26.8176079109844
"S01006566",320,25.4647908947033
"S01006567",323,25.7035233093411
"S01006568",315,25.0669035369735
"S01006569",316,25.1464810085195
"S01006570",315,25.0669035369735
"S01006571",314,24.9873260654276
"S01006572",91,7.24154991068124
"S01006573",213,16.9500014392869
"S01006574",192,15.278874536822
"S01006575",176,14.0056349920868
"S01006576",269,21.4063398458599
"S01006577",260,20.6901426019464
"S01006578",311,24.7485936507897
"S01006579",318,25.3056359516114
"S01006580",294,23.3957766345086
"S01006581",109,8.6739443985083
"S01006582",328,26.1014106670708
"S01006583",316,25.1464810085195
"S01006584",314,24.9873260654276
"S01006585",317,25.2260584800654
"S01006586",335,26.6584529678925
"S01006587",326,25.9422557239789
"S01006588",326,25.9422557239789
"S01006589",328,26.1014106670708
"S01006590",326,25.9422557239789
"S01006591",325,25.862678252433
"S01006592",314,24.9873260654276
"S01006593",324,25.783100780887
"S01006594",308,24.5098612361519
"S01006595",313,24.9077485938816
"S01006596",313,24.9077485938816
"S01006597",314,24.9873260654276
"S01006598",302,24.0323964068762
"S01006599",83,6.60493013831366
"S01006600",228,18.1436635124761
"S01006601",292,23.2366216914167
"S01006602",302,24.0323964068762
"S01006603",9,0.716197243913529
"S01006604",17,1.35281701628111
"S01006605",17,1.35281701628111
"S01006606",24,1.90985931710274
"S01006607",22,1.75070437401085
"S01006608",5,0.397887357729738
"S01006609",13,1.03450713009732
"S01006610",12,0.954929658551372
"S01006611",9,0.716197243913529
"S01006612",8,0.636619772367581
"S01006613",5,0.397887357729738
"S01006614",5,0.397887357729738
"S01006615",5,0.397887357729738
"S01006616",5,0.397887357729738
"S01006617",5,0.397887357729738
"S01006618",5,0.397887357729738
"S01006619",5,0.397887357729738
"S01006620",5,0.397887357729738
"S01006621",6,0.477464829275686
"S01006622",6,0.477464829275686
"S01006623",13,1.03450713009732
"S01006624",291,23.1570442198708
"S01006625",259,20.6105651304004
"S01006626",286,22.759156862141
"S01006627",283,22.5204244475032
"S01006628",306,24.35070629306
"S01006629",244,19.4169030572112
"S01006630",128,10.1859163578813
"S01006631",122,9.70845152860562
"S01006632",231,18.3823959271139
