"CODE","800tobaccoTOTAL2012count","800tobaccoTOTAL2012density"
"S01006506",11,5.4709511687839
"S01006507",7,3.48151438013521
"S01006508",8,3.97887357729738
"S01006509",11,5.4709511687839
"S01006510",10,4.97359197162173
"S01006511",10,4.97359197162173
"S01006512",0,0
"S01006513",0,0
"S01006514",0,0
"S01006515",0,0
"S01006516",1,0.497359197162173
"S01006517",2,0.994718394324346
"S01006518",1,0.497359197162173
"S01006519",1,0.497359197162173
"S01006520",0,0
"S01006521",1,0.497359197162173
"S01006522",3,1.49207759148652
"S01006523",3,1.49207759148652
"S01006524",3,1.49207759148652
"S01006525",1,0.497359197162173
"S01006526",3,1.49207759148652
"S01006527",3,1.49207759148652
"S01006528",5,2.48679598581086
"S01006529",9,4.47623277445956
"S01006530",7,3.48151438013521
"S01006531",6,2.98415518297304
"S01006532",7,3.48151438013521
"S01006533",4,1.98943678864869
"S01006534",11,5.4709511687839
"S01006535",14,6.96302876027042
"S01006536",26,12.9313391262165
"S01006537",4,1.98943678864869
"S01006538",4,1.98943678864869
"S01006539",9,4.47623277445956
"S01006540",5,2.48679598581086
"S01006541",5,2.48679598581086
"S01006542",3,1.49207759148652
"S01006543",3,1.49207759148652
"S01006544",7,3.48151438013521
"S01006545",5,2.48679598581086
"S01006546",5,2.48679598581086
"S01006547",4,1.98943678864869
"S01006548",2,0.994718394324346
"S01006549",4,1.98943678864869
"S01006550",4,1.98943678864869
"S01006551",4,1.98943678864869
"S01006552",6,2.98415518297304
"S01006553",6,2.98415518297304
"S01006554",11,5.4709511687839
"S01006555",8,3.97887357729738
"S01006556",13,6.46566956310825
"S01006557",6,2.98415518297304
"S01006558",9,4.47623277445956
"S01006559",8,3.97887357729738
"S01006560",7,3.48151438013521
"S01006561",5,2.48679598581086
"S01006562",9,4.47623277445956
"S01006563",4,1.98943678864869
"S01006564",94,46.7517645332443
"S01006565",92,45.7570461389199
"S01006566",38,18.8996494921626
"S01006567",69,34.3177846041899
"S01006568",38,18.8996494921626
"S01006569",18,8.95246554891911
"S01006570",15,7.46038795743259
"S01006571",17,8.45510635175694
"S01006572",7,3.48151438013521
"S01006573",10,4.97359197162173
"S01006574",9,4.47623277445956
"S01006575",11,5.4709511687839
"S01006576",23,11.43926153473
"S01006577",14,6.96302876027042
"S01006578",35,17.4075719006761
"S01006579",50,24.8679598581086
"S01006580",26,12.9313391262165
"S01006581",7,3.48151438013521
"S01006582",112,55.7042300821634
"S01006583",78,38.7940173786495
"S01006584",92,45.7570461389199
"S01006585",96,47.7464829275686
"S01006586",125,62.1698996452716
"S01006587",109,54.2121524906768
"S01006588",114,56.6989484764877
"S01006589",90,44.7623277445956
"S01006590",115,57.1963076736499
"S01006591",97,48.2438421247308
"S01006592",33,16.4128535063517
"S01006593",77,38.2966581814873
"S01006594",27,13.4286983233787
"S01006595",59,29.3441926325682
"S01006596",64,31.8309886183791
"S01006597",52,25.862678252433
"S01006598",18,8.95246554891911
"S01006599",6,2.98415518297304
"S01006600",13,6.46566956310825
"S01006601",16,7.95774715459477
"S01006602",18,8.95246554891911
"S01006603",4,1.98943678864869
"S01006604",8,3.97887357729738
"S01006605",5,2.48679598581086
"S01006606",8,3.97887357729738
"S01006607",3,1.49207759148652
"S01006608",0,0
"S01006609",5,2.48679598581086
"S01006610",4,1.98943678864869
"S01006611",4,1.98943678864869
"S01006612",2,0.994718394324346
"S01006613",0,0
"S01006614",1,0.497359197162173
"S01006615",0,0
"S01006616",3,1.49207759148652
"S01006617",4,1.98943678864869
"S01006618",4,1.98943678864869
"S01006619",5,2.48679598581086
"S01006620",5,2.48679598581086
"S01006621",6,2.98415518297304
"S01006622",5,2.48679598581086
"S01006623",5,2.48679598581086
"S01006624",21,10.4445431404056
"S01006625",19,9.44982474608129
"S01006626",21,10.4445431404056
"S01006627",18,8.95246554891911
"S01006628",23,11.43926153473
