"CODE","3000alcoholOn2016count","3000alcoholOn2016density"
"S01006506",13,0.45978094670992
"S01006507",13,0.45978094670992
"S01006508",13,0.45978094670992
"S01006509",12,0.424413181578388
"S01006510",12,0.424413181578388
"S01006511",12,0.424413181578388
"S01006512",10,0.353677651315323
"S01006513",12,0.424413181578388
"S01006514",14,0.495148711841452
"S01006515",12,0.424413181578388
"S01006516",9,0.318309886183791
"S01006517",13,0.45978094670992
"S01006518",6,0.212206590789194
"S01006519",9,0.318309886183791
"S01006520",6,0.212206590789194
"S01006521",33,1.16713624934057
"S01006522",19,0.671987537499114
"S01006523",17,0.601252007236049
"S01006524",11,0.389045416446855
"S01006525",10,0.353677651315323
"S01006526",48,1.69765272631355
"S01006527",50,1.76838825657661
"S01006528",90,3.18309886183791
"S01006529",277,9.79687094143445
"S01006530",172,6.08325560262355
"S01006531",112,3.96118969473162
"S01006532",323,11.4237881374849
"S01006533",299,10.5749617743282
"S01006534",331,11.7067302585372
"S01006535",335,11.8482013190633
"S01006536",355,12.555556621694
"S01006537",81,2.86478897565412
"S01006538",78,2.75868568025952
"S01006539",285,10.0798130624867
"S01006540",178,6.29546219341275
"S01006541",121,4.27949958091541
"S01006542",56,1.98059484736581
"S01006543",52,1.83912378683968
"S01006544",240,8.48826363156775
"S01006545",275,9.72613541117138
"S01006546",135,4.77464829275686
"S01006547",35,1.23787177960363
"S01006548",48,1.69765272631355
"S01006549",124,4.38560287631
"S01006550",68,2.4050080289442
"S01006551",37,1.3086073098667
"S01006552",40,1.41471060526129
"S01006553",107,3.78435086907396
"S01006554",141,4.98685488354605
"S01006555",38,1.34397507499823
"S01006556",54,1.90985931710274
"S01006557",27,0.954929658551372
"S01006558",368,13.0153375684039
"S01006559",355,12.555556621694
"S01006560",348,12.3079822657732
"S01006561",347,12.2726145006417
"S01006562",271,9.58466435064525
"S01006563",352,12.4494533262994
"S01006564",368,13.0153375684039
"S01006565",367,12.9799698032724
"S01006566",372,13.15680862893
"S01006567",371,13.1214408637985
"S01006568",369,13.0507053335354
"S01006569",368,13.0153375684039
"S01006570",367,12.9799698032724
"S01006571",363,12.8384987427462
"S01006572",334,11.8128335539318
"S01006573",348,12.3079822657732
"S01006574",340,12.025040144721
"S01006575",336,11.8835690841949
"S01006576",340,12.025040144721
"S01006577",340,12.025040144721
"S01006578",361,12.7677632124832
"S01006579",363,12.8384987427462
"S01006580",355,12.555556621694
"S01006581",332,11.7420980236687
"S01006582",364,12.8738665078778
"S01006583",362,12.8031309776147
"S01006584",368,13.0153375684039
"S01006585",368,13.0153375684039
"S01006586",366,12.9446020381408
"S01006587",356,12.5909243868255
"S01006588",355,12.555556621694
"S01006589",351,12.4140855611678
"S01006590",358,12.6616599170886
"S01006591",357,12.626292151957
"S01006592",348,12.3079822657732
"S01006593",354,12.5201888565624
"S01006594",350,12.3787177960363
"S01006595",358,12.6616599170886
"S01006596",352,12.4494533262994
"S01006597",359,12.6970276822201
"S01006598",347,12.2726145006417
"S01006599",313,11.0701104861696
"S01006600",330,11.6713624934057
"S01006601",347,12.2726145006417
"S01006602",346,12.2372467355102
"S01006603",58,2.05133037762887
"S01006604",220,7.78090832893711
"S01006605",261,9.23098669932993
"S01006606",294,10.3981229486705
"S01006607",298,10.5395940091966
"S01006608",6,0.212206590789194
"S01006609",186,6.57840431446501
"S01006610",118,4.17339628552081
"S01006611",94,3.32456992236404
"S01006612",31,1.0964007190775
"S01006613",7,0.247574355920726
"S01006614",6,0.212206590789194
"S01006615",6,0.212206590789194
