"CODE","3000alcoholOn2012count","3000alcoholOn2012density"
"S01006506",13,0.45978094670992
"S01006507",13,0.45978094670992
"S01006508",13,0.45978094670992
"S01006509",13,0.45978094670992
"S01006510",12,0.424413181578388
"S01006511",12,0.424413181578388
"S01006512",10,0.353677651315323
"S01006513",12,0.424413181578388
"S01006514",14,0.495148711841452
"S01006515",12,0.424413181578388
"S01006516",9,0.318309886183791
"S01006517",14,0.495148711841452
"S01006518",6,0.212206590789194
"S01006519",9,0.318309886183791
"S01006520",6,0.212206590789194
"S01006521",34,1.2025040144721
"S01006522",20,0.707355302630646
"S01006523",18,0.636619772367581
"S01006524",12,0.424413181578388
"S01006525",11,0.389045416446855
"S01006526",51,1.80375602170815
"S01006527",54,1.90985931710274
"S01006528",97,3.43067321775863
"S01006529",270,9.54929658551372
"S01006530",193,6.82597867038573
"S01006531",117,4.13802852038928
"S01006532",320,11.3176848420903
"S01006533",290,10.2566518881444
"S01006534",326,11.5298914328795
"S01006535",328,11.6006269631426
"S01006536",351,12.4140855611678
"S01006537",86,3.04162780131178
"S01006538",82,2.90015674078565
"S01006539",279,9.86760647169751
"S01006540",181,6.40156548880735
"S01006541",126,4.45633840657307
"S01006542",62,2.192801438155
"S01006543",59,2.08669814276041
"S01006544",238,8.41752810130469
"S01006545",264,9.33708999472453
"S01006546",144,5.09295817894065
"S01006547",36,1.27323954473516
"S01006548",50,1.76838825657661
"S01006549",130,4.5978094670992
"S01006550",70,2.47574355920726
"S01006551",39,1.37934284012976
"S01006552",42,1.48544613552436
"S01006553",116,4.10266075525775
"S01006554",148,5.23442923946678
"S01006555",39,1.37934284012976
"S01006556",54,1.90985931710274
"S01006557",29,1.02566518881444
"S01006558",366,12.9446020381408
"S01006559",352,12.4494533262994
"S01006560",347,12.2726145006417
"S01006561",344,12.1665112052471
"S01006562",263,9.301722229593
"S01006563",349,12.3433500309048
"S01006564",366,12.9446020381408
"S01006565",365,12.9092342730093
"S01006566",368,13.0153375684039
"S01006567",367,12.9799698032724
"S01006568",367,12.9799698032724
"S01006569",365,12.9092342730093
"S01006570",364,12.8738665078778
"S01006571",360,12.7323954473516
"S01006572",326,11.5298914328795
"S01006573",347,12.2726145006417
"S01006574",336,11.8835690841949
"S01006575",329,11.6359947282741
"S01006576",334,11.8128335539318
"S01006577",335,11.8482013190633
"S01006578",356,12.5909243868255
"S01006579",359,12.6970276822201
"S01006580",356,12.5909243868255
"S01006581",324,11.4591559026165
"S01006582",359,12.6970276822201
"S01006583",357,12.626292151957
"S01006584",365,12.9092342730093
"S01006585",364,12.8738665078778
"S01006586",363,12.8384987427462
"S01006587",351,12.4140855611678
"S01006588",351,12.4140855611678
"S01006589",346,12.2372467355102
"S01006590",353,12.4848210914309
"S01006591",353,12.4848210914309
"S01006592",346,12.2372467355102
"S01006593",352,12.4494533262994
"S01006594",345,12.2018789703786
"S01006595",355,12.555556621694
"S01006596",350,12.3787177960363
"S01006597",357,12.626292151957
"S01006598",342,12.095775674984
"S01006599",309,10.9286394256435
"S01006600",327,11.5652591980111
"S01006601",344,12.1665112052471
"S01006602",341,12.0604079098525
"S01006603",63,2.22816920328654
"S01006604",215,7.60406950327944
"S01006605",252,8.91267681314614
"S01006606",285,10.0798130624867
"S01006607",288,10.1859163578813
"S01006608",8,0.282942121052258
"S01006609",182,6.43693325393888
"S01006610",140,4.95148711841452
"S01006611",100,3.53677651315323
"S01006612",33,1.16713624934057
"S01006613",9,0.318309886183791
"S01006614",8,0.282942121052258
