"CODE","5000alcoholTOTAL2012count","5000alcoholTOTAL2012density"
"S01006506",22,0.280112699841736
"S01006507",21,0.267380304394384
"S01006508",21,0.267380304394384
"S01006509",21,0.267380304394384
"S01006510",21,0.267380304394384
"S01006511",22,0.280112699841736
"S01006512",23,0.292845095289087
"S01006513",31,0.3947042588679
"S01006514",29,0.369239467973197
"S01006515",30,0.381971863420549
"S01006516",33,0.420169049762604
"S01006517",109,1.38783110376133
"S01006518",69,0.878535285867262
"S01006519",80,1.01859163578813
"S01006520",65,0.827605704077856
"S01006521",426,5.42400046057179
"S01006522",221,2.81385939386471
"S01006523",192,2.44461992589151
"S01006524",106,1.34963391741927
"S01006525",87,1.10771840391959
"S01006526",485,6.17521179196554
"S01006527",486,6.18794418741289
"S01006528",507,6.45532449180727
"S01006529",537,6.83729635522782
"S01006530",523,6.6590428189649
"S01006531",513,6.53171886449138
"S01006532",550,7.0028174960434
"S01006533",557,7.09194426417486
"S01006534",561,7.14287384596426
"S01006535",558,7.10467665962221
"S01006536",563,7.16833863685897
"S01006537",506,6.44259209635992
"S01006538",517,6.58264844628079
"S01006539",551,7.01554989149075
"S01006540",537,6.83729635522782
"S01006541",547,6.96462030970134
"S01006542",520,6.62084563262285
"S01006543",509,6.48078928270198
"S01006544",565,7.19380342775367
"S01006545",555,7.06647947328015
"S01006546",550,7.0028174960434
"S01006547",477,6.07335262838673
"S01006548",518,6.59538084172814
"S01006549",564,7.18107103230632
"S01006550",536,6.82456395978047
"S01006551",512,6.51898646904403
"S01006552",536,6.82456395978047
"S01006553",566,7.20653582320102
"S01006554",578,7.35932456856924
"S01006555",530,6.74816958709636
"S01006556",553,7.04101468238545
"S01006557",475,6.04788783749202
"S01006558",580,7.38478935946394
"S01006559",576,7.33385977767454
"S01006560",581,7.3975217549113
"S01006561",581,7.3975217549113
"S01006562",580,7.38478935946394
"S01006563",582,7.41025415035865
"S01006564",567,7.21926821864837
"S01006565",572,7.28293019588513
"S01006566",572,7.28293019588513
"S01006567",571,7.27019780043778
"S01006568",572,7.28293019588513
"S01006569",575,7.32112738222719
"S01006570",575,7.32112738222719
"S01006571",571,7.27019780043778
"S01006572",575,7.32112738222719
"S01006573",573,7.29566259133248
"S01006574",571,7.27019780043778
"S01006575",560,7.13014145051691
"S01006576",563,7.16833863685897
"S01006577",565,7.19380342775367
"S01006578",567,7.21926821864837
"S01006579",567,7.21926821864837
"S01006580",568,7.23200061409572
"S01006581",561,7.14287384596426
"S01006582",564,7.18107103230632
"S01006583",568,7.23200061409572
"S01006584",568,7.23200061409572
"S01006585",568,7.23200061409572
"S01006586",564,7.18107103230632
"S01006587",557,7.09194426417486
"S01006588",559,7.11740905506956
"S01006589",558,7.10467665962221
"S01006590",560,7.13014145051691
"S01006591",560,7.13014145051691
"S01006592",552,7.0282822869381
"S01006593",557,7.09194426417486
"S01006594",561,7.14287384596426
"S01006595",567,7.21926821864837
"S01006596",562,7.15560624141161
"S01006597",567,7.21926821864837
"S01006598",546,6.95188791425399
"S01006599",545,6.93915551880664
"S01006600",551,7.01554989149075
"S01006601",559,7.11740905506956
"S01006602",557,7.09194426417486
"S01006603",483,6.14974700107084
"S01006604",505,6.42985970091257
"S01006605",504,6.41712730546522
"S01006606",522,6.64631042351755
"S01006607",508,6.46805688725463
"S01006608",95,1.2095775674984
"S01006609",487,6.20067658286024
"S01006610",487,6.20067658286024
"S01006611",486,6.18794418741289
"S01006612",469,5.97149346480791
"S01006613",140,1.78253536262923
"S01006614",74,0.94219726310402
"S01006615",81,1.03132403123548
"S01006616",79,1.00585924034078
"S01006617",130,1.65521140815571
"S01006618",214,2.72473262573325
"S01006619",301,3.83245102965284
"S01006620",348,4.43087361567837
"S01006621",402,5.11842296983535
"S01006622",355,4.52000038380983
"S01006623",479,6.09881741928143
"S01006624",534,6.79909916888577
"S01006625",525,6.6845076098596
"S01006626",526,6.69724000530696
"S01006627",530,6.74816958709636
"S01006628",536,6.82456395978047
"S01006629",519,6.60811323717549
"S01006630",509,6.48078928270198
"S01006631",503,6.40439491001787
"S01006632",521,6.6335780280702
"S01006633",505,6.42985970091257
"S01006634",506,6.44259209635992
"S01006635",515,6.55718365538609
"S01006636",497,6.32800053733376
"S01006637",553,7.04101468238545
"S01006638",558,7.10467665962221
"S01006639",559,7.11740905506956
"S01006640",549,6.99008510059604
"S01006641",551,7.01554989149075
"S01006642",560,7.13014145051691
"S01006643",554,7.0537470778328
"S01006644",552,7.0282822869381
"S01006645",568,7.23200061409572
"S01006646",567,7.21926821864837
"S01006647",565,7.19380342775367
"S01006648",568,7.23200061409572
"S01006649",570,7.25746540499043
"S01006650",570,7.25746540499043
"S01006651",569,7.24473300954308
"S01006652",569,7.24473300954308
"S01006653",577,7.34659217312189
"S01006654",577,7.34659217312189
"S01006655",577,7.34659217312189
"S01006656",572,7.28293019588513
"S01006657",575,7.32112738222719
"S01006658",566,7.20653582320102
"S01006659",568,7.23200061409572
"S01006660",571,7.27019780043778
"S01006661",565,7.19380342775367
"S01006662",569,7.24473300954308
"S01006663",561,7.14287384596426
"S01006664",561,7.14287384596426
"S01006665",562,7.15560624141161
"S01006666",533,6.78636677343842
"S01006667",542,6.90095833246458
"S01006668",548,6.97735270514869
"S01006669",546,6.95188791425399
"S01006670",549,6.99008510059604
"S01006671",530,6.74816958709636
"S01006672",540,6.87549354156988
"S01006673",537,6.83729635522782
"S01006674",533,6.78636677343842
"S01006675",566,7.20653582320102
"S01006676",565,7.19380342775367
"S01006677",565,7.19380342775367
"S01006678",561,7.14287384596426
"S01006679",563,7.16833863685897
"S01006680",560,7.13014145051691
"S01006681",559,7.11740905506956
"S01006682",568,7.23200061409572
"S01006683",569,7.24473300954308
"S01006684",569,7.24473300954308
"S01006685",563,7.16833863685897
"S01006686",567,7.21926821864837
"S01006687",565,7.19380342775367
"S01006688",577,7.34659217312189
"S01006689",574,7.30839498677983
"S01006690",572,7.28293019588513
"S01006691",575,7.32112738222719
"S01006692",576,7.33385977767454
"S01006693",566,7.20653582320102
"S01006694",582,7.41025415035865
"S01006695",582,7.41025415035865
"S01006696",577,7.34659217312189
"S01006697",580,7.38478935946394
"S01006698",580,7.38478935946394
"S01006699",579,7.37205696401659
"S01006700",579,7.37205696401659
"S01006701",530,6.74816958709636
"S01006702",552,7.0282822869381
"S01006703",552,7.0282822869381
"S01006704",538,6.85002875067518
"S01006705",575,7.32112738222719
"S01006706",573,7.29566259133248
"S01006707",576,7.33385977767454
"S01006708",505,6.42985970091257
"S01006709",467,5.94602867391321
"S01006710",349,4.44360601112572
"S01006711",405,5.15662015617741
"S01006712",511,6.50625407359668
"S01006713",541,6.88822593701723
"S01006714",577,7.34659217312189
"S01006715",567,7.21926821864837
"S01006716",576,7.33385977767454
"S01006717",570,7.25746540499043
"S01006718",574,7.30839498677983
"S01006719",480,6.11154981472878
"S01006720",412,5.24574692430887
"S01006721",519,6.60811323717549
"S01006722",564,7.18107103230632
"S01006723",542,6.90095833246458
"S01006724",537,6.83729635522782
"S01006725",526,6.69724000530696
"S01006726",563,7.16833863685897
"S01006727",553,7.04101468238545
"S01006728",522,6.64631042351755
"S01006729",565,7.19380342775367
"S01006730",478,6.08608502383408
"S01006731",391,4.97836661991449
"S01006732",88,1.12045079936694
"S01006733",83,1.05678882213019
"S01006734",72,0.916732472209317
"S01006735",83,1.05678882213019
"S01006736",93,1.1841127766037
"S01006737",88,1.12045079936694
"S01006738",212,2.69926783483854
"S01006739",364,4.63459194283599
"S01006740",150,1.90985931710274
"S01006741",127,1.61701422181366
"S01006742",129,1.64247901270836
"S01006743",103,1.31143673107722
"S01006744",120,1.5278874536822
"S01006745",122,1.5533522445769
"S01006746",116,1.47695787189279
"S01006747",109,1.38783110376133
"S01006748",76,0.967662053998724
"S01006749",61,0.776676122288449
"S01006750",49,0.62388737692023
"S01006751",50,0.636619772367581
"S01006752",53,0.674816958709636
"S01006753",58,0.738478935946394
"S01006754",68,0.865802890419911
"S01006755",45,0.572957795130823
"S01006756",554,7.0537470778328
"S01006757",477,6.07335262838673
"S01006758",528,6.72270479620166
"S01006759",542,6.90095833246458
"S01006760",473,6.02242304659732
"S01006761",329,4.18895810217869
"S01006762",202,2.57194388036503
"S01006763",132,1.68067619905041
"S01006764",171,2.17723962149713
"S01006765",158,2.01171848068156
"S01006766",135,1.71887338539247
"S01006767",287,3.65419749338992
"S01006768",476,6.06062023293937
"S01006769",393,5.00383141080919
"S01006770",317,4.03616935681047
"S01006771",187,2.38095794865475
"S01006772",328,4.17622570673133
"S01006773",213,2.7120002302859
"S01006774",173,2.20270441239183
"S01006775",536,6.82456395978047
"S01006776",512,6.51898646904403
"S01006777",479,6.09881741928143
"S01006778",497,6.32800053733376
"S01006779",501,6.37893011912317
"S01006780",514,6.54445125993874
"S01006781",475,6.04788783749202
"S01006782",465,5.92056388301851
"S01006783",487,6.20067658286024
"S01006784",503,6.40439491001787
"S01006785",110,1.40056349920868
"S01006786",145,1.84619733986599
"S01006787",240,3.05577490736439
"S01006788",95,1.2095775674984
"S01006789",20,0.254647908947033
"S01006790",20,0.254647908947033
"S01006791",2,0.0254647908947033
"S01006792",20,0.254647908947033
"S01006793",13,0.165521140815571
"S01006794",9,0.114591559026165
"S01006795",11,0.140056349920868
"S01006796",9,0.114591559026165
"S01006797",11,0.140056349920868
"S01006798",3,0.0381971863420549
"S01006799",11,0.140056349920868
"S01006800",28,0.356507072525846
"S01006801",8,0.101859163578813
"S01006802",6,0.0763943726841098
"S01006803",8,0.101859163578813
"S01006804",9,0.114591559026165
"S01006805",8,0.101859163578813
"S01006806",5,0.0636619772367581
"S01006807",13,0.165521140815571
"S01006808",4,0.0509295817894065
"S01006809",2,0.0254647908947033
"S01006810",5,0.0636619772367581
"S01006811",4,0.0509295817894065
"S01006812",3,0.0381971863420549
"S01006813",13,0.165521140815571
"S01006814",10,0.127323954473516
"S01006815",10,0.127323954473516
"S01006816",10,0.127323954473516
"S01006817",10,0.127323954473516
"S01006818",2,0.0254647908947033
"S01006819",30,0.381971863420549
"S01006820",15,0.190985931710274
"S01006821",20,0.254647908947033
"S01006822",37,0.47109863155201
"S01006823",35,0.445633840657307
"S01006824",35,0.445633840657307
"S01006825",35,0.445633840657307
"S01006826",35,0.445633840657307
"S01006827",35,0.445633840657307
"S01006828",35,0.445633840657307
"S01006829",35,0.445633840657307
